name,naming_series,customer,posting_date,company
DN-DEMO-000024,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-04-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000025,MAT-DN-.YYYY.-,CMH Medical Center 39,2024-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000026,MAT-DN-.YYYY.-,Sheikh Zayed District Hospital 14,2024-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000027,MAT-DN-.YYYY.-,National Medical Center 48,2024-04-09,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000028,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-04-09,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000029,MAT-DN-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-04-10,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000030,MAT-DN-.YYYY.-,Combined Military Teaching Hospital 19,2024-04-12,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000031,MAT-DN-.YYYY.-,Prime Medical Center 47,2024-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000032,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000033,MAT-DN-.YYYY.-,Fatima Memorial Private Hospital 22,2024-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000034,MAT-DN-.YYYY.-,Sheikh Zayed District Hospital 14,2024-04-18,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000035,MAT-DN-.YYYY.-,Sharif Medical Private Hospital 23,2024-04-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000036,MAT-DN-.YYYY.-,Surgimed Medical Center 34,2024-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000037,MAT-DN-.YYYY.-,CMH Medical Center 39,2024-04-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000038,MAT-DN-.YYYY.-,Mayo Tertiary Hospital 01,2024-04-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000039,MAT-DN-.YYYY.-,Excel Labs Medical Center 52,2024-04-26,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000040,MAT-DN-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000041,MAT-DN-.YYYY.-,Noor Tertiary Hospital 07,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000042,MAT-DN-.YYYY.-,Fatima Memorial Private Hospital 22,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000043,MAT-DN-.YYYY.-,Al-Rehman Tertiary Hospital 08,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000044,MAT-DN-.YYYY.-,Lahore General District Hospital 13,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000045,MAT-DN-.YYYY.-,Citi Lab Medical Center 38,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000046,MAT-DN-.YYYY.-,Allied Teaching Hospital 18,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000047,MAT-DN-.YYYY.-,Children Maternity Hospital 30,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000048,MAT-DN-.YYYY.-,National Medical Center 48,2024-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000049,MAT-DN-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-05-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000050,MAT-DN-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-05-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000051,MAT-DN-.YYYY.-,Allied Medical Center 35,2024-05-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000052,MAT-DN-.YYYY.-,Children Maternity Hospital 30,2024-05-04,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000053,MAT-DN-.YYYY.-,Noor Tertiary Hospital 07,2024-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000054,MAT-DN-.YYYY.-,Citi Lab Medical Center 38,2024-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000055,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000056,MAT-DN-.YYYY.-,Jinnah Tertiary Hospital 02,2024-05-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000057,MAT-DN-.YYYY.-,Surgimed Medical Center 34,2024-05-08,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000058,MAT-DN-.YYYY.-,Fatima Memorial Private Hospital 22,2024-05-08,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000059,MAT-DN-.YYYY.-,Hafeez Diagnostic Laboratory 27,2024-05-09,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000060,MAT-DN-.YYYY.-,Ghurki Trust Medical Center 42,2024-05-10,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000061,MAT-DN-.YYYY.-,Prime Medical Center 47,2024-05-12,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000062,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-05-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000063,MAT-DN-.YYYY.-,Social Security Medical Center 43,2024-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000064,MAT-DN-.YYYY.-,Prime Medical Center 47,2024-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000065,MAT-DN-.YYYY.-,Combined Military Teaching Hospital 19,2024-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000066,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000067,MAT-DN-.YYYY.-,Surgimed Medical Center 34,2024-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000068,MAT-DN-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000069,MAT-DN-.YYYY.-,Fatima Memorial Private Hospital 22,2024-05-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000070,MAT-DN-.YYYY.-,Wapda Teaching Medical Center 55,2024-05-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000071,MAT-DN-.YYYY.-,Hameed Latif District Hospital 15,2024-05-21,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000072,MAT-DN-.YYYY.-,Services Tertiary Hospital 03,2024-05-21,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000073,MAT-DN-.YYYY.-,Wapda Teaching Medical Center 51,2024-05-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000074,MAT-DN-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-05-23,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000075,MAT-DN-.YYYY.-,Medix District Hospital 11,2024-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000076,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000077,MAT-DN-.YYYY.-,Shalimar Tertiary Hospital 04,2024-05-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000078,MAT-DN-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-05-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000079,MAT-DN-.YYYY.-,National Medical Center 48,2024-05-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000080,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 33,2024-05-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000081,MAT-DN-.YYYY.-,Hafeez Diagnostic Laboratory 27,2024-05-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000082,MAT-DN-.YYYY.-,Ghurki Trust Medical Center 42,2024-05-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000083,MAT-DN-.YYYY.-,LifeLine Medical Center 49,2024-05-31,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000084,MAT-DN-.YYYY.-,Shalimar Tertiary Hospital 04,2024-05-31,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000085,MAT-DN-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-06-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000086,MAT-DN-.YYYY.-,Jinnah Tertiary Hospital 02,2024-06-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000087,MAT-DN-.YYYY.-,Shaukat Khanum Medical Center 50,2024-06-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000088,MAT-DN-.YYYY.-,Central Park Medical Center 36,2024-06-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000089,MAT-DN-.YYYY.-,Fatima Memorial Private Hospital 22,2024-06-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000090,MAT-DN-.YYYY.-,Sheikh Zayed District Hospital 14,2024-06-05,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000091,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 33,2024-06-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000092,MAT-DN-.YYYY.-,Children Medical Center 46,2024-06-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000093,MAT-DN-.YYYY.-,Surgimed Medical Center 34,2024-06-08,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000094,MAT-DN-.YYYY.-,Sheikh Zayed District Hospital 14,2024-06-09,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000095,MAT-DN-.YYYY.-,Prime Tertiary Hospital 10,2024-06-10,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000096,MAT-DN-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-06-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000097,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-06-15,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000098,MAT-DN-.YYYY.-,CMH Medical Center 39,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000099,MAT-DN-.YYYY.-,Shaukat Khanum Medical Center 50,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000100,MAT-DN-.YYYY.-,National Medical Center 48,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000101,MAT-DN-.YYYY.-,Noor Tertiary Hospital 07,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000102,MAT-DN-.YYYY.-,Prime Tertiary Hospital 10,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000103,MAT-DN-.YYYY.-,Farooq Maternity Hospital 29,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000104,MAT-DN-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-06-17,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000105,MAT-DN-.YYYY.-,Hameed Latif District Hospital 15,2024-06-18,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000106,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-06-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000107,MAT-DN-.YYYY.-,Children Maternity Hospital 30,2024-06-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000108,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-06-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000109,MAT-DN-.YYYY.-,Shaukat Khanum District Hospital 16,2024-06-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000110,MAT-DN-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-06-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000111,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-06-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000112,MAT-DN-.YYYY.-,Agha Khan Lab Medical Center 53,2024-06-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000113,MAT-DN-.YYYY.-,Lahore Eye Medical Center 32,2024-06-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000114,MAT-DN-.YYYY.-,Allied Teaching Hospital 18,2024-06-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000115,MAT-DN-.YYYY.-,Shaukat Khanum District Hospital 16,2024-06-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000116,MAT-DN-.YYYY.-,Fatima Memorial Private Hospital 22,2024-06-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000117,MAT-DN-.YYYY.-,Wapda Teaching Medical Center 55,2024-06-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000118,MAT-DN-.YYYY.-,Children Maternity Hospital 30,2024-06-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000119,MAT-DN-.YYYY.-,LifeLine Medical Center 49,2024-06-26,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000120,MAT-DN-.YYYY.-,Doctors Private Hospital 25,2024-06-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000121,MAT-DN-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-06-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000122,MAT-DN-.YYYY.-,Prime Tertiary Hospital 10,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000123,MAT-DN-.YYYY.-,Children Maternity Hospital 30,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000124,MAT-DN-.YYYY.-,CMH Medical Center 39,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000125,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000126,MAT-DN-.YYYY.-,LifeLine Medical Center 49,2024-06-30,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000127,MAT-DN-.YYYY.-,Shaukat Khanum Medical Center 50,2024-07-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000128,MAT-DN-.YYYY.-,Citi Lab Medical Center 38,2024-07-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000129,MAT-DN-.YYYY.-,Children Medical Center 46,2024-07-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000130,MAT-DN-.YYYY.-,National Medical Center 48,2024-07-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000131,MAT-DN-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-07-04,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000132,MAT-DN-.YYYY.-,Shaukat Khanum District Hospital 16,2024-07-05,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000133,MAT-DN-.YYYY.-,National District Hospital 17,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000134,MAT-DN-.YYYY.-,Excel Labs Medical Center 52,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000135,MAT-DN-.YYYY.-,Shaukat Khanum District Hospital 16,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000136,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000137,MAT-DN-.YYYY.-,Services Tertiary Hospital 03,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000138,MAT-DN-.YYYY.-,National District Hospital 17,2024-07-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000139,MAT-DN-.YYYY.-,National Medical Center 48,2024-07-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000140,MAT-DN-.YYYY.-,National Medical Center 48,2024-07-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000141,MAT-DN-.YYYY.-,LifeLine Medical Center 49,2024-07-09,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000142,MAT-DN-.YYYY.-,Central Park Tertiary Hospital 05,2024-07-10,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000143,MAT-DN-.YYYY.-,LifeLine Medical Center 49,2024-07-11,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000144,MAT-DN-.YYYY.-,Citi Lab Medical Center 38,2024-07-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000145,MAT-DN-.YYYY.-,City Care Tertiary Hospital 06,2024-07-13,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000146,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-07-14,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000147,MAT-DN-.YYYY.-,National Medical Center 48,2024-07-14,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000148,MAT-DN-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-07-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000149,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-07-17,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000150,MAT-DN-.YYYY.-,City Care Tertiary Hospital 06,2024-07-17,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000151,MAT-DN-.YYYY.-,Lahore Eye Medical Center 32,2024-07-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000152,MAT-DN-.YYYY.-,Prime Medical Center 47,2024-07-21,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000153,MAT-DN-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-07-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000154,MAT-DN-.YYYY.-,Prime Tertiary Hospital 10,2024-07-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000155,MAT-DN-.YYYY.-,National Medical Center 48,2024-07-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000156,MAT-DN-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-07-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000157,MAT-DN-.YYYY.-,Ittefaq Private Hospital 24,2024-07-25,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000158,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-07-27,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000159,MAT-DN-.YYYY.-,Medix District Hospital 11,2024-07-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000160,MAT-DN-.YYYY.-,Hameed Latif District Hospital 15,2024-07-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000161,MAT-DN-.YYYY.-,Children Medical Center 46,2024-07-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000162,MAT-DN-.YYYY.-,Combined Military Teaching Hospital 19,2024-07-30,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000163,MAT-DN-.YYYY.-,Allied Teaching Hospital 18,2024-08-02,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000164,MAT-DN-.YYYY.-,Shaukat Khanum District Hospital 16,2024-08-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000165,MAT-DN-.YYYY.-,Punjab District Hospital 12,2024-08-03,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000166,MAT-DN-.YYYY.-,Shalimar Tertiary Hospital 04,2024-08-04,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000167,MAT-DN-.YYYY.-,City Care Tertiary Hospital 06,2024-08-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000168,MAT-DN-.YYYY.-,Services Tertiary Hospital 03,2024-08-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000169,MAT-DN-.YYYY.-,Farooq Maternity Hospital 29,2024-08-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000170,MAT-DN-.YYYY.-,Central Park Medical Center 36,2024-08-07,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000171,MAT-DN-.YYYY.-,Children Maternity Hospital 30,2024-08-08,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000172,MAT-DN-.YYYY.-,Medix District Hospital 11,2024-08-09,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000173,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-08-11,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000174,MAT-DN-.YYYY.-,Lahore General District Hospital 13,2024-08-15,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000175,MAT-DN-.YYYY.-,Combined Military Teaching Hospital 19,2024-08-16,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000176,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-08-18,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000177,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 33,2024-08-18,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000178,MAT-DN-.YYYY.-,City Care Tertiary Hospital 06,2024-08-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000179,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-08-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000180,MAT-DN-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-08-19,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000181,MAT-DN-.YYYY.-,Sheikh Zayed District Hospital 14,2024-08-20,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000182,MAT-DN-.YYYY.-,Surgimed Medical Center 44,2024-08-22,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000183,MAT-DN-.YYYY.-,Sharif Medical Private Hospital 23,2024-08-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000184,MAT-DN-.YYYY.-,Allied Teaching Hospital 18,2024-08-24,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000185,MAT-DN-.YYYY.-,Agha Khan Lab Medical Center 53,2024-08-26,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000186,MAT-DN-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-08-28,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000187,MAT-DN-.YYYY.-,Sheikh Zayed Medical Center 41,2024-08-29,EnXi Biomedical & Waste Management (Pvt) Ltd
DN-DEMO-000188,MAT-DN-.YYYY.-,Central Park Medical Center 36,2024-08-30,EnXi Biomedical & Waste Management (Pvt) Ltd
