name,naming_series,customer,posting_date,due_date,company
SI-DEMO-000018,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-03-24,2024-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000019,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-03-24,2024-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000020,ACC-SINV-.YYYY.-,Sheikh Zayed District Hospital 14,2024-03-24,2024-05-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000021,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 42,2024-03-25,2024-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000022,ACC-SINV-.YYYY.-,Noor Tertiary Hospital 07,2024-03-27,2024-04-26,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000023,ACC-SINV-.YYYY.-,Prime Medical Center 47,2024-03-27,2024-04-26,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000024,ACC-SINV-.YYYY.-,Wapda Teaching Medical Center 51,2024-03-27,2024-04-11,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000025,ACC-SINV-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-03-28,2024-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000026,ACC-SINV-.YYYY.-,Prime Tertiary Hospital 10,2024-03-29,2024-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000027,ACC-SINV-.YYYY.-,Central Park Medical Center 36,2024-03-30,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000028,ACC-SINV-.YYYY.-,National Medical Center 54,2024-03-30,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000029,ACC-SINV-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-03-30,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000030,ACC-SINV-.YYYY.-,Farooq Maternity Hospital 29,2024-04-02,2024-05-02,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000031,ACC-SINV-.YYYY.-,LifeLine Medical Center 49,2024-04-02,2024-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000032,ACC-SINV-.YYYY.-,Punjab District Hospital 12,2024-04-03,2024-04-18,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000033,ACC-SINV-.YYYY.-,Central Park Tertiary Hospital 05,2024-04-05,2024-06-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000034,ACC-SINV-.YYYY.-,Combined Military Teaching Hospital 19,2024-04-05,2024-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000035,ACC-SINV-.YYYY.-,National Medical Center 54,2024-04-05,2024-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000036,ACC-SINV-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-04-05,2024-06-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000037,ACC-SINV-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-04-06,2024-05-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000038,ACC-SINV-.YYYY.-,Prime Medical Center 47,2024-04-06,2024-05-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000039,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-04-06,2024-04-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000040,ACC-SINV-.YYYY.-,Services Tertiary Hospital 03,2024-04-08,2024-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000041,ACC-SINV-.YYYY.-,Allied Medical Center 35,2024-04-08,2024-05-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000042,ACC-SINV-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-04-08,2024-05-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000043,ACC-SINV-.YYYY.-,Sheikh Zayed District Hospital 14,2024-04-09,2024-06-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000044,ACC-SINV-.YYYY.-,LifeLine Tertiary Hospital 09,2024-04-10,2024-05-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000045,ACC-SINV-.YYYY.-,National Medical Center 48,2024-04-10,2024-05-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000046,ACC-SINV-.YYYY.-,Allied Teaching Hospital 18,2024-04-11,2024-05-11,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000047,ACC-SINV-.YYYY.-,Children Maternity Hospital 30,2024-04-13,2024-05-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000048,ACC-SINV-.YYYY.-,Al-Rehman Tertiary Hospital 08,2024-04-13,2024-06-12,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000049,ACC-SINV-.YYYY.-,Wapda Teaching Medical Center 55,2024-04-14,2024-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000050,ACC-SINV-.YYYY.-,Hafeez Diagnostic Laboratory 27,2024-04-15,2024-06-14,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000051,ACC-SINV-.YYYY.-,National Medical Center 54,2024-04-15,2024-06-14,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000052,ACC-SINV-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-04-16,2024-05-31,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000053,ACC-SINV-.YYYY.-,Wapda Teaching Medical Center 55,2024-04-17,2024-05-02,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000054,ACC-SINV-.YYYY.-,National District Hospital 17,2024-04-17,2024-05-02,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000055,ACC-SINV-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-04-18,2024-06-17,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000056,ACC-SINV-.YYYY.-,Mayo Tertiary Hospital 01,2024-04-18,2024-05-03,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000057,ACC-SINV-.YYYY.-,Combined Military Teaching Hospital 19,2024-04-18,2024-06-02,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000058,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-04-18,2024-05-03,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000059,ACC-SINV-.YYYY.-,Prime Tertiary Hospital 10,2024-04-19,2024-06-18,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000060,ACC-SINV-.YYYY.-,Mayo Tertiary Hospital 01,2024-04-19,2024-05-19,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000061,ACC-SINV-.YYYY.-,Sharif Medical Private Hospital 23,2024-04-19,2024-05-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000062,ACC-SINV-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-04-20,2024-06-19,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000063,ACC-SINV-.YYYY.-,Hafeez Diagnostic Laboratory 27,2024-04-20,2024-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000064,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-04-20,2024-05-20,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000065,ACC-SINV-.YYYY.-,Medix District Hospital 11,2024-04-23,2024-05-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000066,ACC-SINV-.YYYY.-,Social Security Medical Center 43,2024-04-23,2024-05-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000067,ACC-SINV-.YYYY.-,Lahore General District Hospital 13,2024-04-24,2024-06-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000068,ACC-SINV-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-04-25,2024-05-25,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000069,ACC-SINV-.YYYY.-,Shalimar Tertiary Hospital 04,2024-04-25,2024-06-09,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000070,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-04-26,2024-05-26,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000071,ACC-SINV-.YYYY.-,Shaukat Khanum Medical Center 50,2024-04-27,2024-05-12,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000072,ACC-SINV-.YYYY.-,Shaukat Khanum Medical Center 50,2024-04-27,2024-05-27,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000073,ACC-SINV-.YYYY.-,Sir Ganga Ram Medical Center 33,2024-04-27,2024-06-26,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000074,ACC-SINV-.YYYY.-,Farooq Maternity Hospital 29,2024-04-27,2024-05-27,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000075,ACC-SINV-.YYYY.-,City Care Tertiary Hospital 06,2024-04-29,2024-06-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000076,ACC-SINV-.YYYY.-,Jinnah Tertiary Hospital 02,2024-04-29,2024-05-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000077,ACC-SINV-.YYYY.-,Excel Labs Medical Center 52,2024-04-30,2024-05-15,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000078,ACC-SINV-.YYYY.-,Al-Rehman Tertiary Hospital 08,2024-04-30,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000079,ACC-SINV-.YYYY.-,LifeLine Tertiary Hospital 09,2024-05-01,2024-05-31,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000080,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 45,2024-05-02,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000081,ACC-SINV-.YYYY.-,Prime Medical Center 47,2024-05-03,2024-06-17,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000082,ACC-SINV-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-05-04,2024-06-18,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000083,ACC-SINV-.YYYY.-,Sir Ganga Ram Teaching Hospital 21,2024-05-05,2024-07-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000084,ACC-SINV-.YYYY.-,Wapda Teaching Medical Center 55,2024-05-05,2024-05-20,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000085,ACC-SINV-.YYYY.-,Farooq Maternity Hospital 29,2024-05-06,2024-06-05,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000086,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-05-07,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000087,ACC-SINV-.YYYY.-,National District Hospital 17,2024-05-07,2024-06-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000088,ACC-SINV-.YYYY.-,Doctors Private Hospital 25,2024-05-07,2024-05-22,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000089,ACC-SINV-.YYYY.-,Surgimed Medical Center 34,2024-05-07,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000090,ACC-SINV-.YYYY.-,LifeLine Medical Center 49,2024-05-08,2024-05-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000091,ACC-SINV-.YYYY.-,Medix District Hospital 11,2024-05-09,2024-06-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000092,ACC-SINV-.YYYY.-,Doctors Private Hospital 25,2024-05-10,2024-07-09,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000093,ACC-SINV-.YYYY.-,Lahore General District Hospital 13,2024-05-11,2024-06-25,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000094,ACC-SINV-.YYYY.-,LifeLine Tertiary Hospital 09,2024-05-13,2024-06-12,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000095,ACC-SINV-.YYYY.-,Doctors Private Hospital 25,2024-05-13,2024-05-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000096,ACC-SINV-.YYYY.-,Shaukat Khanum District Hospital 16,2024-05-15,2024-07-14,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000097,ACC-SINV-.YYYY.-,Children Maternity Hospital 30,2024-05-15,2024-05-30,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000098,ACC-SINV-.YYYY.-,Surgimed Diagnostic Laboratory 26,2024-05-17,2024-06-01,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000099,ACC-SINV-.YYYY.-,Surgimed Medical Center 34,2024-05-18,2024-07-17,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000100,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-05-20,2024-07-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000101,ACC-SINV-.YYYY.-,Ittefaq Private Hospital 24,2024-05-21,2024-07-20,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000102,ACC-SINV-.YYYY.-,Shaukat Khanum Medical Center 50,2024-05-21,2024-07-05,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000103,ACC-SINV-.YYYY.-,Children Maternity Hospital 30,2024-05-22,2024-07-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000104,ACC-SINV-.YYYY.-,Children Medical Center 46,2024-05-22,2024-06-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000105,ACC-SINV-.YYYY.-,Shaukat Khanum District Hospital 16,2024-05-22,2024-07-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000106,ACC-SINV-.YYYY.-,Citi Lab Medical Center 38,2024-05-22,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000107,ACC-SINV-.YYYY.-,Children Maternity Hospital 30,2024-05-23,2024-07-07,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000108,ACC-SINV-.YYYY.-,Al-Rehman Tertiary Hospital 08,2024-05-23,2024-06-07,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000109,ACC-SINV-.YYYY.-,National Medical Center 48,2024-05-23,2024-07-22,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000110,ACC-SINV-.YYYY.-,Shaukat Khanum Medical Center 50,2024-05-24,2024-07-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000111,ACC-SINV-.YYYY.-,Shaukat Khanum Medical Center 50,2024-05-24,2024-07-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000112,ACC-SINV-.YYYY.-,Noor Tertiary Hospital 07,2024-05-25,2024-07-24,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000113,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-05-26,2024-06-25,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000114,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-05-26,2024-06-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000115,ACC-SINV-.YYYY.-,Ittefaq Private Hospital 24,2024-05-26,2024-07-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000116,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-05-26,2024-07-25,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000117,ACC-SINV-.YYYY.-,Excel Labs Medical Center 52,2024-05-27,2024-06-11,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000118,ACC-SINV-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-05-29,2024-06-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000119,ACC-SINV-.YYYY.-,National Medical Center 54,2024-05-30,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000120,ACC-SINV-.YYYY.-,Social Security Medical Center 43,2024-05-31,2024-06-15,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000121,ACC-SINV-.YYYY.-,Doctors Private Hospital 25,2024-05-31,2024-06-15,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000122,ACC-SINV-.YYYY.-,Social Security Medical Center 43,2024-05-31,2024-06-15,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000123,ACC-SINV-.YYYY.-,Sir Ganga Ram Medical Center 33,2024-05-31,2024-06-30,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000124,ACC-SINV-.YYYY.-,Prime Tertiary Hospital 10,2024-06-01,2024-07-01,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000125,ACC-SINV-.YYYY.-,Combined Military Teaching Hospital 19,2024-06-01,2024-06-16,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000126,ACC-SINV-.YYYY.-,Citi Lab Medical Center 38,2024-06-02,2024-07-17,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000127,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-06-03,2024-06-18,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000128,ACC-SINV-.YYYY.-,City Care Tertiary Hospital 06,2024-06-03,2024-07-03,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000129,ACC-SINV-.YYYY.-,Lahore General District Hospital 13,2024-06-03,2024-07-03,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000130,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 45,2024-06-04,2024-07-19,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000131,ACC-SINV-.YYYY.-,Sir Ganga Ram Medical Center 40,2024-06-05,2024-08-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000132,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 45,2024-06-06,2024-06-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000133,ACC-SINV-.YYYY.-,Shaukat Khanum District Hospital 16,2024-06-07,2024-07-22,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000134,ACC-SINV-.YYYY.-,Combined Military Teaching Hospital 19,2024-06-07,2024-08-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000135,ACC-SINV-.YYYY.-,Services Tertiary Hospital 03,2024-06-08,2024-07-08,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000136,ACC-SINV-.YYYY.-,Ittefaq Private Hospital 24,2024-06-09,2024-07-24,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000137,ACC-SINV-.YYYY.-,Prime Tertiary Hospital 10,2024-06-09,2024-06-24,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000138,ACC-SINV-.YYYY.-,Lady Aitchison Specialist Clinic 31,2024-06-10,2024-07-25,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000139,ACC-SINV-.YYYY.-,Gulab Devi Teaching Hospital 20,2024-06-11,2024-07-26,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000140,ACC-SINV-.YYYY.-,Allied Teaching Hospital 18,2024-06-11,2024-08-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000141,ACC-SINV-.YYYY.-,Shaukat Khanum Medical Center 50,2024-06-14,2024-07-14,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000142,ACC-SINV-.YYYY.-,Shaukat Khanum District Hospital 16,2024-06-14,2024-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000143,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-06-15,2024-06-30,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000144,ACC-SINV-.YYYY.-,Jinnah Tertiary Hospital 02,2024-06-15,2024-08-14,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000145,ACC-SINV-.YYYY.-,Prime Tertiary Hospital 10,2024-06-16,2024-07-16,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000146,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 42,2024-06-18,2024-07-18,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000147,ACC-SINV-.YYYY.-,Doctors Private Hospital 25,2024-06-19,2024-08-03,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000148,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 45,2024-06-20,2024-08-04,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000149,ACC-SINV-.YYYY.-,Ittefaq Private Hospital 24,2024-06-21,2024-08-05,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000150,ACC-SINV-.YYYY.-,Fatima Memorial Private Hospital 22,2024-06-21,2024-07-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000151,ACC-SINV-.YYYY.-,Children Medical Center 46,2024-06-22,2024-08-06,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000152,ACC-SINV-.YYYY.-,Lahore Eye Medical Center 32,2024-06-22,2024-08-21,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000153,ACC-SINV-.YYYY.-,Excel Labs Medical Center 52,2024-06-23,2024-08-07,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000154,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 42,2024-06-23,2024-07-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000155,ACC-SINV-.YYYY.-,Sheikh Zayed Medical Center 37,2024-06-24,2024-07-09,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000156,ACC-SINV-.YYYY.-,Jinnah Tertiary Hospital 02,2024-06-24,2024-07-24,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000157,ACC-SINV-.YYYY.-,Sheikh Zayed Medical Center 37,2024-06-24,2024-08-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000158,ACC-SINV-.YYYY.-,Sheikh Zayed Medical Center 37,2024-06-24,2024-07-09,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000159,ACC-SINV-.YYYY.-,Shalimar Tertiary Hospital 04,2024-06-24,2024-08-23,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000160,ACC-SINV-.YYYY.-,Jinnah Tertiary Hospital 02,2024-06-25,2024-08-24,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000161,ACC-SINV-.YYYY.-,CMH Medical Center 39,2024-06-25,2024-07-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000162,ACC-SINV-.YYYY.-,Prime Medical Center 47,2024-06-25,2024-07-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000163,ACC-SINV-.YYYY.-,Services Tertiary Hospital 03,2024-06-26,2024-07-11,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000164,ACC-SINV-.YYYY.-,National District Hospital 17,2024-06-26,2024-08-10,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000165,ACC-SINV-.YYYY.-,Aziz Fatimah Diagnostic Laboratory 28,2024-06-26,2024-08-25,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000166,ACC-SINV-.YYYY.-,Doctors Private Hospital 25,2024-06-27,2024-07-27,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000167,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 42,2024-06-28,2024-07-28,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000168,ACC-SINV-.YYYY.-,Surgimed Medical Center 44,2024-06-29,2024-07-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000169,ACC-SINV-.YYYY.-,CMH Medical Center 39,2024-06-29,2024-07-29,EnXi Biomedical & Waste Management (Pvt) Ltd
SI-DEMO-000170,ACC-SINV-.YYYY.-,Ghurki Trust Medical Center 42,2024-06-29,2024-07-29,EnXi Biomedical & Waste Management (Pvt) Ltd
