parent,parenttype,parentfield,item_code,start_date,end_date,periodicity,no_of_visits
MS-DEMO-000026,Maintenance Schedule,items,BIO-00230,2023-06-20,2024-06-19,Yearly,9
MS-DEMO-000027,Maintenance Schedule,items,BIO-00130,2023-06-25,2024-06-24,Quarterly,12
MS-DEMO-000028,Maintenance Schedule,items,BIO-00273,2023-06-30,2024-06-29,Half Yearly,6
MS-DEMO-000029,Maintenance Schedule,items,BIO-00117,2023-07-01,2024-06-30,Monthly,8
MS-DEMO-000030,Maintenance Schedule,items,BIO-00195,2023-07-07,2024-07-06,Half Yearly,10
MS-DEMO-000031,Maintenance Schedule,items,BIO-00214,2023-07-19,2024-07-18,Monthly,6
MS-DEMO-000032,Maintenance Schedule,items,BIO-00418,2023-07-20,2024-07-19,Half Yearly,6
MS-DEMO-000033,Maintenance Schedule,items,BIO-00322,2023-07-26,2024-07-25,Monthly,4
MS-DEMO-000034,Maintenance Schedule,items,BIO-00160,2023-07-28,2024-07-27,Yearly,11
MS-DEMO-000035,Maintenance Schedule,items,BIO-00095,2023-08-11,2024-08-10,Quarterly,2
MS-DEMO-000036,Maintenance Schedule,items,BIO-00220,2023-08-12,2024-08-11,Yearly,10
MS-DEMO-000037,Maintenance Schedule,items,BIO-00288,2023-08-14,2024-08-13,Yearly,8
MS-DEMO-000038,Maintenance Schedule,items,BIO-00444,2023-09-04,2024-09-03,Half Yearly,11
MS-DEMO-000039,Maintenance Schedule,items,BIO-00081,2023-09-10,2024-09-09,Yearly,7
MS-DEMO-000040,Maintenance Schedule,items,BIO-00260,2023-09-11,2024-09-10,Quarterly,3
MS-DEMO-000041,Maintenance Schedule,items,BIO-00208,2023-10-27,2024-10-26,Half Yearly,7
MS-DEMO-000042,Maintenance Schedule,items,BIO-00074,2023-11-04,2024-11-03,Half Yearly,8
MS-DEMO-000043,Maintenance Schedule,items,BIO-00077,2023-11-11,2024-11-10,Half Yearly,2
MS-DEMO-000044,Maintenance Schedule,items,BIO-00185,2023-11-13,2024-11-12,Quarterly,6
MS-DEMO-000045,Maintenance Schedule,items,BIO-00384,2023-11-15,2024-11-14,Quarterly,2
MS-DEMO-000046,Maintenance Schedule,items,BIO-00291,2023-11-16,2024-11-15,Yearly,7
MS-DEMO-000047,Maintenance Schedule,items,BIO-00065,2023-11-21,2024-11-20,Quarterly,6
MS-DEMO-000048,Maintenance Schedule,items,BIO-00214,2023-11-26,2024-11-25,Quarterly,8
MS-DEMO-000049,Maintenance Schedule,items,BIO-00228,2023-12-04,2024-12-03,Monthly,8
MS-DEMO-000050,Maintenance Schedule,items,BIO-00210,2023-12-08,2024-12-07,Half Yearly,8
MS-DEMO-000051,Maintenance Schedule,items,BIO-00219,2023-12-11,2024-12-10,Monthly,7
MS-DEMO-000052,Maintenance Schedule,items,BIO-00388,2023-12-14,2024-12-13,Yearly,9
MS-DEMO-000053,Maintenance Schedule,items,BIO-00261,2023-12-20,2024-12-19,Quarterly,8
MS-DEMO-000054,Maintenance Schedule,items,BIO-00397,2023-12-20,2024-12-19,Half Yearly,2
MS-DEMO-000055,Maintenance Schedule,items,BIO-00305,2023-12-24,2024-12-23,Half Yearly,10
MS-DEMO-000056,Maintenance Schedule,items,BIO-00184,2023-12-26,2024-12-25,Quarterly,12
MS-DEMO-000057,Maintenance Schedule,items,BIO-00198,2024-01-01,2024-12-31,Yearly,7
MS-DEMO-000058,Maintenance Schedule,items,BIO-00105,2024-01-08,2025-01-07,Monthly,12
MS-DEMO-000059,Maintenance Schedule,items,BIO-00285,2024-01-22,2025-01-21,Quarterly,7
MS-DEMO-000060,Maintenance Schedule,items,BIO-00435,2024-01-24,2025-01-23,Half Yearly,7
MS-DEMO-000061,Maintenance Schedule,items,BIO-00375,2024-01-26,2025-01-25,Quarterly,7
MS-DEMO-000062,Maintenance Schedule,items,BIO-00094,2024-01-31,2025-01-30,Half Yearly,12
MS-DEMO-000063,Maintenance Schedule,items,SPR-044,2024-02-03,2025-02-02,Monthly,2
MS-DEMO-000064,Maintenance Schedule,items,BIO-00246,2024-02-13,2025-02-12,Quarterly,9
MS-DEMO-000065,Maintenance Schedule,items,BIO-00148,2024-02-27,2025-02-26,Monthly,10
MS-DEMO-000066,Maintenance Schedule,items,BIO-00417,2024-03-01,2025-03-01,Yearly,6
MS-DEMO-000067,Maintenance Schedule,items,BIO-00180,2024-03-06,2025-03-06,Monthly,12
MS-DEMO-000068,Maintenance Schedule,items,BIO-00395,2024-03-09,2025-03-09,Quarterly,3
MS-DEMO-000069,Maintenance Schedule,items,BIO-00134,2024-03-16,2025-03-16,Yearly,7
MS-DEMO-000070,Maintenance Schedule,items,BIO-00359,2024-03-18,2025-03-18,Monthly,7
MS-DEMO-000071,Maintenance Schedule,items,BIO-00198,2024-03-19,2025-03-19,Yearly,2
MS-DEMO-000072,Maintenance Schedule,items,BIO-00058,2024-04-12,2025-04-12,Monthly,9
MS-DEMO-000073,Maintenance Schedule,items,BIO-00277,2024-04-14,2025-04-14,Yearly,3
MS-DEMO-000074,Maintenance Schedule,items,BIO-00127,2024-04-16,2025-04-16,Half Yearly,4
MS-DEMO-000075,Maintenance Schedule,items,BIO-00344,2024-04-26,2025-04-26,Quarterly,7
MS-DEMO-000076,Maintenance Schedule,items,BIO-00353,2024-04-29,2025-04-29,Half Yearly,2
MS-DEMO-000077,Maintenance Schedule,items,SPR-045,2024-04-29,2025-04-29,Monthly,5
MS-DEMO-000078,Maintenance Schedule,items,BIO-00326,2024-05-01,2025-05-01,Quarterly,9
MS-DEMO-000079,Maintenance Schedule,items,BIO-00193,2024-05-05,2025-05-05,Monthly,5
MS-DEMO-000080,Maintenance Schedule,items,BIO-00276,2024-05-10,2025-05-10,Half Yearly,4
MS-DEMO-000081,Maintenance Schedule,items,BIO-00368,2024-05-11,2025-05-11,Yearly,12
MS-DEMO-000082,Maintenance Schedule,items,BIO-00078,2024-05-16,2025-05-16,Yearly,12
MS-DEMO-000083,Maintenance Schedule,items,BIO-00309,2024-05-20,2025-05-20,Yearly,6
MS-DEMO-000084,Maintenance Schedule,items,BIO-00302,2024-06-20,2025-06-20,Monthly,2
MS-DEMO-000085,Maintenance Schedule,items,BIO-00179,2024-06-28,2025-06-28,Yearly,12
MS-DEMO-000086,Maintenance Schedule,items,BIO-00113,2024-06-30,2025-06-30,Quarterly,9
MS-DEMO-000087,Maintenance Schedule,items,BIO-00340,2024-06-30,2025-06-30,Yearly,9
MS-DEMO-000088,Maintenance Schedule,items,BIO-00267,2024-07-04,2025-07-04,Yearly,4
MS-DEMO-000089,Maintenance Schedule,items,BIO-00162,2024-07-13,2025-07-13,Quarterly,8
MS-DEMO-000090,Maintenance Schedule,items,BIO-00441,2024-07-13,2025-07-13,Quarterly,4
MS-DEMO-000091,Maintenance Schedule,items,BIO-00441,2024-07-14,2025-07-14,Quarterly,9
MS-DEMO-000092,Maintenance Schedule,items,BIO-00170,2024-07-14,2025-07-14,Half Yearly,9
MS-DEMO-000093,Maintenance Schedule,items,BIO-00323,2024-07-20,2025-07-20,Half Yearly,3
MS-DEMO-000094,Maintenance Schedule,items,BIO-00263,2024-07-21,2025-07-21,Quarterly,4
MS-DEMO-000095,Maintenance Schedule,items,BIO-00266,2024-07-29,2025-07-29,Monthly,9
MS-DEMO-000096,Maintenance Schedule,items,BIO-00070,2024-07-30,2025-07-30,Yearly,7
MS-DEMO-000097,Maintenance Schedule,items,BIO-00289,2024-08-03,2025-08-03,Half Yearly,10
MS-DEMO-000098,Maintenance Schedule,items,BIO-00228,2024-08-05,2025-08-05,Monthly,2
MS-DEMO-000099,Maintenance Schedule,items,BIO-00080,2024-08-22,2025-08-22,Quarterly,7
MS-DEMO-000100,Maintenance Schedule,items,BIO-00264,2024-08-29,2025-08-29,Monthly,12
MS-DEMO-000101,Maintenance Schedule,items,BIO-00179,2024-08-31,2025-08-31,Monthly,3
MS-DEMO-000102,Maintenance Schedule,items,BIO-00118,2024-09-07,2025-09-07,Quarterly,8
MS-DEMO-000103,Maintenance Schedule,items,BIO-00402,2024-09-09,2025-09-09,Yearly,10
MS-DEMO-000104,Maintenance Schedule,items,BIO-00115,2024-09-17,2025-09-17,Yearly,8
MS-DEMO-000105,Maintenance Schedule,items,BIO-00218,2024-09-18,2025-09-18,Yearly,6
MS-DEMO-000106,Maintenance Schedule,items,BIO-00213,2024-10-01,2025-10-01,Yearly,4
MS-DEMO-000107,Maintenance Schedule,items,BIO-00095,2024-10-02,2025-10-02,Monthly,2
MS-DEMO-000108,Maintenance Schedule,items,BIO-00132,2024-10-06,2025-10-06,Monthly,2
MS-DEMO-000109,Maintenance Schedule,items,BIO-00401,2024-10-11,2025-10-11,Half Yearly,2
MS-DEMO-000110,Maintenance Schedule,items,BIO-00292,2024-10-18,2025-10-18,Half Yearly,7
MS-DEMO-000111,Maintenance Schedule,items,BIO-00283,2024-10-22,2025-10-22,Half Yearly,4
MS-DEMO-000112,Maintenance Schedule,items,BIO-00233,2024-10-24,2025-10-24,Yearly,4
MS-DEMO-000113,Maintenance Schedule,items,BIO-00288,2024-11-01,2025-11-01,Half Yearly,10
MS-DEMO-000114,Maintenance Schedule,items,BIO-00423,2024-11-13,2025-11-13,Monthly,4
MS-DEMO-000115,Maintenance Schedule,items,BIO-00105,2024-11-16,2025-11-16,Monthly,2
MS-DEMO-000116,Maintenance Schedule,items,BIO-00172,2024-11-19,2025-11-19,Half Yearly,12
MS-DEMO-000117,Maintenance Schedule,items,BIO-00199,2024-11-22,2025-11-22,Half Yearly,10
MS-DEMO-000118,Maintenance Schedule,items,BIO-00419,2024-11-23,2025-11-23,Yearly,5
MS-DEMO-000119,Maintenance Schedule,items,BIO-00111,2024-12-07,2025-12-07,Monthly,7
MS-DEMO-000120,Maintenance Schedule,items,BIO-00334,2024-12-08,2025-12-08,Quarterly,9
MS-DEMO-000121,Maintenance Schedule,items,BIO-00285,2024-12-09,2025-12-09,Half Yearly,3
MS-DEMO-000122,Maintenance Schedule,items,BIO-00414,2024-12-11,2025-12-11,Yearly,11
MS-DEMO-000123,Maintenance Schedule,items,BIO-00097,2024-12-14,2025-12-14,Yearly,2
MS-DEMO-000124,Maintenance Schedule,items,BIO-00447,2024-12-16,2025-12-16,Monthly,12
MS-DEMO-000125,Maintenance Schedule,items,BIO-00220,2024-12-19,2025-12-19,Half Yearly,6
MS-DEMO-000126,Maintenance Schedule,items,BIO-00149,2024-12-26,2025-12-26,Half Yearly,7
MS-DEMO-000127,Maintenance Schedule,items,BIO-00412,2024-12-28,2025-12-28,Quarterly,10
MS-DEMO-000128,Maintenance Schedule,items,BIO-00370,2025-01-01,2026-01-01,Quarterly,5
MS-DEMO-000129,Maintenance Schedule,items,BIO-00350,2025-01-05,2026-01-05,Quarterly,12
MS-DEMO-000130,Maintenance Schedule,items,BIO-00396,2025-01-15,2026-01-15,Monthly,10
MS-DEMO-000131,Maintenance Schedule,items,BIO-00291,2025-01-19,2026-01-19,Monthly,8
MS-DEMO-000132,Maintenance Schedule,items,BIO-00152,2025-01-24,2026-01-24,Half Yearly,11
MS-DEMO-000133,Maintenance Schedule,items,BIO-00323,2025-02-05,2026-02-05,Half Yearly,3
MS-DEMO-000134,Maintenance Schedule,items,BIO-00156,2025-02-13,2026-02-13,Monthly,6
MS-DEMO-000135,Maintenance Schedule,items,BIO-00277,2025-02-23,2026-02-23,Monthly,9
MS-DEMO-000136,Maintenance Schedule,items,BIO-00260,2025-02-23,2026-02-23,Half Yearly,4
MS-DEMO-000137,Maintenance Schedule,items,BIO-00121,2025-03-02,2026-03-02,Half Yearly,3
MS-DEMO-000138,Maintenance Schedule,items,BIO-00174,2025-03-07,2026-03-07,Monthly,8
MS-DEMO-000139,Maintenance Schedule,items,BIO-00372,2025-03-10,2026-03-10,Half Yearly,4
MS-DEMO-000140,Maintenance Schedule,items,BIO-00246,2025-03-19,2026-03-19,Quarterly,7
MS-DEMO-000141,Maintenance Schedule,items,BIO-00259,2025-03-23,2026-03-23,Yearly,8
MS-DEMO-000142,Maintenance Schedule,items,BIO-00238,2025-03-29,2026-03-29,Monthly,5
MS-DEMO-000143,Maintenance Schedule,items,BIO-00192,2025-04-04,2026-04-04,Yearly,12
MS-DEMO-000144,Maintenance Schedule,items,BIO-00314,2025-04-06,2026-04-06,Monthly,10
MS-DEMO-000145,Maintenance Schedule,items,BIO-00409,2025-04-15,2026-04-15,Half Yearly,4
MS-DEMO-000146,Maintenance Schedule,items,BIO-00375,2025-04-21,2026-04-21,Yearly,10
MS-DEMO-000147,Maintenance Schedule,items,BIO-00403,2025-04-27,2026-04-27,Monthly,4
MS-DEMO-000148,Maintenance Schedule,items,BIO-00269,2025-04-28,2026-04-28,Monthly,4
MS-DEMO-000149,Maintenance Schedule,items,BIO-00095,2025-05-06,2026-05-06,Half Yearly,10
MS-DEMO-000150,Maintenance Schedule,items,BIO-00346,2025-05-12,2026-05-12,Monthly,5
MS-DEMO-000151,Maintenance Schedule,items,BIO-00205,2025-05-15,2026-05-15,Half Yearly,2
MS-DEMO-000152,Maintenance Schedule,items,BIO-00333,2025-05-15,2026-05-15,Quarterly,3
MS-DEMO-000153,Maintenance Schedule,items,BIO-00101,2025-06-04,2026-06-04,Quarterly,9
MS-DEMO-000154,Maintenance Schedule,items,BIO-00236,2025-06-14,2026-06-14,Quarterly,7
MS-DEMO-000155,Maintenance Schedule,items,BIO-00196,2025-06-17,2026-06-17,Yearly,9
MS-DEMO-000156,Maintenance Schedule,items,BIO-00415,2025-06-20,2026-06-20,Quarterly,10
MS-DEMO-000157,Maintenance Schedule,items,BIO-00212,2025-06-21,2026-06-21,Half Yearly,11
MS-DEMO-000158,Maintenance Schedule,items,BIO-00211,2025-06-25,2026-06-25,Quarterly,11
MS-DEMO-000159,Maintenance Schedule,items,BIO-00207,2025-07-01,2026-07-01,Monthly,9
MS-DEMO-000160,Maintenance Schedule,items,BIO-00374,2025-07-26,2026-07-26,Half Yearly,6
MS-DEMO-000161,Maintenance Schedule,items,BIO-00401,2025-07-30,2026-07-30,Half Yearly,6
MS-DEMO-000162,Maintenance Schedule,items,BIO-00225,2025-08-12,2026-08-12,Monthly,2
MS-DEMO-000163,Maintenance Schedule,items,BIO-00209,2025-08-19,2026-08-19,Yearly,5
MS-DEMO-000164,Maintenance Schedule,items,BIO-00239,2025-08-28,2026-08-28,Monthly,8
MS-DEMO-000165,Maintenance Schedule,items,BIO-00270,2025-09-09,2026-09-09,Yearly,8
MS-DEMO-000166,Maintenance Schedule,items,BIO-00317,2025-09-25,2026-09-25,Quarterly,8
MS-DEMO-000167,Maintenance Schedule,items,BIO-00106,2025-09-25,2026-09-25,Yearly,12
MS-DEMO-000168,Maintenance Schedule,items,BIO-00415,2025-10-05,2026-10-05,Quarterly,3
MS-DEMO-000169,Maintenance Schedule,items,BIO-00331,2025-10-06,2026-10-06,Yearly,12
MS-DEMO-000170,Maintenance Schedule,items,BIO-00107,2025-10-16,2026-10-16,Monthly,5
MS-DEMO-000171,Maintenance Schedule,items,BIO-00081,2025-10-31,2026-10-31,Monthly,4
MS-DEMO-000172,Maintenance Schedule,items,BIO-00073,2025-11-02,2026-11-02,Quarterly,4
MS-DEMO-000173,Maintenance Schedule,items,BIO-00066,2025-11-05,2026-11-05,Yearly,5
MS-DEMO-000174,Maintenance Schedule,items,BIO-00427,2025-11-06,2026-11-06,Quarterly,9
MS-DEMO-000175,Maintenance Schedule,items,BIO-00075,2025-11-08,2026-11-08,Half Yearly,8
MS-DEMO-000176,Maintenance Schedule,items,BIO-00394,2025-11-15,2026-11-15,Yearly,7
MS-DEMO-000177,Maintenance Schedule,items,BIO-00148,2025-11-16,2026-11-16,Monthly,11
MS-DEMO-000178,Maintenance Schedule,items,BIO-00084,2025-11-18,2026-11-18,Monthly,12
MS-DEMO-000179,Maintenance Schedule,items,BIO-00262,2025-11-22,2026-11-22,Monthly,3
MS-DEMO-000180,Maintenance Schedule,items,BIO-00144,2025-11-24,2026-11-24,Half Yearly,7
MS-DEMO-000181,Maintenance Schedule,items,BIO-00262,2025-11-26,2026-11-26,Monthly,7
MS-DEMO-000182,Maintenance Schedule,items,BIO-00105,2025-12-06,2026-12-06,Quarterly,9
MS-DEMO-000183,Maintenance Schedule,items,BIO-00081,2025-12-06,2026-12-06,Yearly,9
MS-DEMO-000184,Maintenance Schedule,items,BIO-00082,2025-12-07,2026-12-07,Half Yearly,9
MS-DEMO-000185,Maintenance Schedule,items,BIO-00115,2025-12-08,2026-12-08,Quarterly,9
MS-DEMO-000186,Maintenance Schedule,items,BIO-00098,2025-12-18,2026-12-18,Monthly,6
MS-DEMO-000187,Maintenance Schedule,items,BIO-00077,2025-12-21,2026-12-21,Yearly,3
MS-DEMO-000188,Maintenance Schedule,items,BIO-00358,2025-12-23,2026-12-23,Half Yearly,3
MS-DEMO-000189,Maintenance Schedule,items,BIO-00087,2025-12-27,2026-12-27,Yearly,9
MS-DEMO-000190,Maintenance Schedule,items,BIO-00394,2025-12-28,2026-12-28,Monthly,12
MS-DEMO-000191,Maintenance Schedule,items,BIO-00203,2026-01-08,2027-01-08,Quarterly,7
MS-DEMO-000192,Maintenance Schedule,items,BIO-00105,2026-01-12,2027-01-12,Yearly,7
MS-DEMO-000193,Maintenance Schedule,items,BIO-00141,2026-01-13,2027-01-13,Yearly,6
MS-DEMO-000194,Maintenance Schedule,items,BIO-00256,2026-02-02,2027-02-02,Quarterly,2
MS-DEMO-000195,Maintenance Schedule,items,BIO-00345,2026-02-03,2027-02-03,Monthly,9
MS-DEMO-000196,Maintenance Schedule,items,BIO-00409,2026-02-06,2027-02-06,Quarterly,12
MS-DEMO-000197,Maintenance Schedule,items,BIO-00165,2026-02-22,2027-02-22,Half Yearly,11
MS-DEMO-000198,Maintenance Schedule,items,BIO-00413,2026-02-24,2027-02-24,Half Yearly,3
MS-DEMO-000199,Maintenance Schedule,items,BIO-00319,2026-02-25,2027-02-25,Quarterly,5
MS-DEMO-000200,Maintenance Schedule,items,BIO-00119,2026-02-25,2027-02-25,Yearly,3
