parent,parenttype,parentfield,item_code,work_done
MV-DEMO-000103,Maintenance Visit,purposes,BIO-00297,Replaced faulty sensor. Calibration performed.
MV-DEMO-000104,Maintenance Visit,purposes,BIO-00196,Software update applied. Functionality verified.
MV-DEMO-000105,Maintenance Visit,purposes,BIO-00112,Emergency repair - power supply unit replaced.
MV-DEMO-000106,Maintenance Visit,purposes,BIO-00053,Emergency repair - power supply unit replaced.
MV-DEMO-000107,Maintenance Visit,purposes,BIO-00044,Annual calibration performed. Certificate issued.
MV-DEMO-000108,Maintenance Visit,purposes,BIO-00126,Replaced faulty sensor. Calibration performed.
MV-DEMO-000109,Maintenance Visit,purposes,BIO-00326,Annual calibration performed. Certificate issued.
MV-DEMO-000110,Maintenance Visit,purposes,BIO-00045,Battery replaced. Full diagnostic run completed.
MV-DEMO-000111,Maintenance Visit,purposes,BIO-00282,Emergency repair - power supply unit replaced.
MV-DEMO-000112,Maintenance Visit,purposes,BIO-00408,Replaced faulty sensor. Calibration performed.
MV-DEMO-000113,Maintenance Visit,purposes,BIO-00377,Replaced faulty sensor. Calibration performed.
MV-DEMO-000114,Maintenance Visit,purposes,BIO-00351,Battery replaced. Full diagnostic run completed.
MV-DEMO-000115,Maintenance Visit,purposes,BIO-00035,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000116,Maintenance Visit,purposes,BIO-00316,Emergency repair - power supply unit replaced.
MV-DEMO-000117,Maintenance Visit,purposes,BIO-00302,Annual calibration performed. Certificate issued.
MV-DEMO-000118,Maintenance Visit,purposes,BIO-00281,Software update applied. Functionality verified.
MV-DEMO-000119,Maintenance Visit,purposes,BIO-00160,Software update applied. Functionality verified.
MV-DEMO-000120,Maintenance Visit,purposes,BIO-00384,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000121,Maintenance Visit,purposes,BIO-00057,Battery replaced. Full diagnostic run completed.
MV-DEMO-000122,Maintenance Visit,purposes,BIO-00184,Annual calibration performed. Certificate issued.
MV-DEMO-000123,Maintenance Visit,purposes,BIO-00026,Replaced faulty sensor. Calibration performed.
MV-DEMO-000124,Maintenance Visit,purposes,BIO-00162,Software update applied. Functionality verified.
MV-DEMO-000125,Maintenance Visit,purposes,BIO-00343,Battery replaced. Full diagnostic run completed.
MV-DEMO-000126,Maintenance Visit,purposes,BIO-00421,Replaced faulty sensor. Calibration performed.
MV-DEMO-000127,Maintenance Visit,purposes,BIO-00187,Emergency repair - power supply unit replaced.
MV-DEMO-000128,Maintenance Visit,purposes,BIO-00403,Battery replaced. Full diagnostic run completed.
MV-DEMO-000129,Maintenance Visit,purposes,BIO-00470,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000130,Maintenance Visit,purposes,BIO-00193,Software update applied. Functionality verified.
MV-DEMO-000131,Maintenance Visit,purposes,BIO-00477,Annual calibration performed. Certificate issued.
MV-DEMO-000132,Maintenance Visit,purposes,BIO-00293,Software update applied. Functionality verified.
MV-DEMO-000133,Maintenance Visit,purposes,BIO-00391,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000134,Maintenance Visit,purposes,BIO-00485,Battery replaced. Full diagnostic run completed.
MV-DEMO-000135,Maintenance Visit,purposes,BIO-00055,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000136,Maintenance Visit,purposes,BIO-00131,Emergency repair - power supply unit replaced.
MV-DEMO-000137,Maintenance Visit,purposes,BIO-00495,Battery replaced. Full diagnostic run completed.
MV-DEMO-000138,Maintenance Visit,purposes,BIO-00090,Battery replaced. Full diagnostic run completed.
MV-DEMO-000139,Maintenance Visit,purposes,BIO-00358,Software update applied. Functionality verified.
MV-DEMO-000140,Maintenance Visit,purposes,BIO-00177,Replaced faulty sensor. Calibration performed.
MV-DEMO-000141,Maintenance Visit,purposes,BIO-00118,Emergency repair - power supply unit replaced.
MV-DEMO-000142,Maintenance Visit,purposes,BIO-00385,Replaced faulty sensor. Calibration performed.
MV-DEMO-000143,Maintenance Visit,purposes,BIO-00083,Software update applied. Functionality verified.
MV-DEMO-000144,Maintenance Visit,purposes,BIO-00136,Battery replaced. Full diagnostic run completed.
MV-DEMO-000145,Maintenance Visit,purposes,BIO-00410,Annual calibration performed. Certificate issued.
MV-DEMO-000146,Maintenance Visit,purposes,BIO-00184,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000147,Maintenance Visit,purposes,BIO-00366,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000148,Maintenance Visit,purposes,BIO-00496,Annual calibration performed. Certificate issued.
MV-DEMO-000149,Maintenance Visit,purposes,BIO-00289,Software update applied. Functionality verified.
MV-DEMO-000150,Maintenance Visit,purposes,BIO-00122,Annual calibration performed. Certificate issued.
MV-DEMO-000151,Maintenance Visit,purposes,BIO-00133,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000152,Maintenance Visit,purposes,BIO-00080,Annual calibration performed. Certificate issued.
MV-DEMO-000153,Maintenance Visit,purposes,BIO-00343,Software update applied. Functionality verified.
MV-DEMO-000154,Maintenance Visit,purposes,BIO-00005,Annual calibration performed. Certificate issued.
MV-DEMO-000155,Maintenance Visit,purposes,BIO-00374,Emergency repair - power supply unit replaced.
MV-DEMO-000156,Maintenance Visit,purposes,BIO-00418,Software update applied. Functionality verified.
MV-DEMO-000157,Maintenance Visit,purposes,BIO-00451,Battery replaced. Full diagnostic run completed.
MV-DEMO-000158,Maintenance Visit,purposes,BIO-00318,Replaced faulty sensor. Calibration performed.
MV-DEMO-000159,Maintenance Visit,purposes,BIO-00448,Replaced faulty sensor. Calibration performed.
MV-DEMO-000160,Maintenance Visit,purposes,BIO-00476,Emergency repair - power supply unit replaced.
MV-DEMO-000161,Maintenance Visit,purposes,BIO-00315,Emergency repair - power supply unit replaced.
MV-DEMO-000162,Maintenance Visit,purposes,BIO-00139,Emergency repair - power supply unit replaced.
MV-DEMO-000163,Maintenance Visit,purposes,BIO-00412,Replaced faulty sensor. Calibration performed.
MV-DEMO-000164,Maintenance Visit,purposes,BIO-00114,Emergency repair - power supply unit replaced.
MV-DEMO-000165,Maintenance Visit,purposes,BIO-00317,Battery replaced. Full diagnostic run completed.
MV-DEMO-000166,Maintenance Visit,purposes,BIO-00449,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000167,Maintenance Visit,purposes,BIO-00314,Software update applied. Functionality verified.
MV-DEMO-000168,Maintenance Visit,purposes,BIO-00177,Software update applied. Functionality verified.
MV-DEMO-000169,Maintenance Visit,purposes,BIO-00325,Emergency repair - power supply unit replaced.
MV-DEMO-000170,Maintenance Visit,purposes,BIO-00457,Battery replaced. Full diagnostic run completed.
MV-DEMO-000171,Maintenance Visit,purposes,BIO-00419,Battery replaced. Full diagnostic run completed.
MV-DEMO-000172,Maintenance Visit,purposes,BIO-00416,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000173,Maintenance Visit,purposes,BIO-00328,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000174,Maintenance Visit,purposes,BIO-00307,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000175,Maintenance Visit,purposes,BIO-00495,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000176,Maintenance Visit,purposes,BIO-00283,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000177,Maintenance Visit,purposes,BIO-00357,Replaced faulty sensor. Calibration performed.
MV-DEMO-000178,Maintenance Visit,purposes,BIO-00129,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000179,Maintenance Visit,purposes,BIO-00359,Software update applied. Functionality verified.
MV-DEMO-000180,Maintenance Visit,purposes,BIO-00279,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000181,Maintenance Visit,purposes,BIO-00368,Software update applied. Functionality verified.
MV-DEMO-000182,Maintenance Visit,purposes,BIO-00068,Software update applied. Functionality verified.
MV-DEMO-000183,Maintenance Visit,purposes,BIO-00077,Software update applied. Functionality verified.
MV-DEMO-000184,Maintenance Visit,purposes,BIO-00371,Replaced faulty sensor. Calibration performed.
MV-DEMO-000185,Maintenance Visit,purposes,BIO-00431,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000186,Maintenance Visit,purposes,BIO-00160,Battery replaced. Full diagnostic run completed.
MV-DEMO-000187,Maintenance Visit,purposes,BIO-00316,Battery replaced. Full diagnostic run completed.
MV-DEMO-000188,Maintenance Visit,purposes,BIO-00453,Annual calibration performed. Certificate issued.
MV-DEMO-000189,Maintenance Visit,purposes,BIO-00102,Preventive maintenance completed. All parameters within spec.
MV-DEMO-000190,Maintenance Visit,purposes,BIO-00030,Software update applied. Functionality verified.
MV-DEMO-000191,Maintenance Visit,purposes,BIO-00027,Software update applied. Functionality verified.
MV-DEMO-000192,Maintenance Visit,purposes,BIO-00360,Annual calibration performed. Certificate issued.
MV-DEMO-000193,Maintenance Visit,purposes,BIO-00484,Battery replaced. Full diagnostic run completed.
MV-DEMO-000194,Maintenance Visit,purposes,BIO-00129,Replaced faulty sensor. Calibration performed.
MV-DEMO-000195,Maintenance Visit,purposes,BIO-00069,Cleaned and lubricated moving parts. Tested OK.
MV-DEMO-000196,Maintenance Visit,purposes,BIO-00435,Annual calibration performed. Certificate issued.
MV-DEMO-000197,Maintenance Visit,purposes,BIO-00200,Replaced faulty sensor. Calibration performed.
MV-DEMO-000198,Maintenance Visit,purposes,BIO-00490,Battery replaced. Full diagnostic run completed.
MV-DEMO-000199,Maintenance Visit,purposes,BIO-00417,Emergency repair - power supply unit replaced.
MV-DEMO-000200,Maintenance Visit,purposes,BIO-00178,Replaced faulty sensor. Calibration performed.
