parent,parenttype,parentfield,item_code,qty,uom,rate
SI-DEMO-000105,Sales Invoice,items,BIO-00236,9,Nos,1461120
SI-DEMO-000105,Sales Invoice,items,BIO-00096,24,Nos,146465
SI-DEMO-000106,Sales Invoice,items,BIO-00253,4,Nos,2314647
SI-DEMO-000107,Sales Invoice,items,BIO-00374,7,Nos,2621986
SI-DEMO-000108,Sales Invoice,items,BIO-00320,3,Nos,588232
SI-DEMO-000109,Sales Invoice,items,BIO-00116,10,Nos,870357
SI-DEMO-000110,Sales Invoice,items,BIO-00243,2,Nos,10129
SI-DEMO-000111,Sales Invoice,items,BIO-00242,6,Nos,1444953
SI-DEMO-000112,Sales Invoice,items,BIO-00434,2,Nos,1827858
SI-DEMO-000112,Sales Invoice,items,BIO-00364,17,Nos,417381
SI-DEMO-000113,Sales Invoice,items,SVC-SHRP,1425,Kg,234
SI-DEMO-000114,Sales Invoice,items,BIO-00132,3,Nos,2714988
SI-DEMO-000115,Sales Invoice,items,BIO-00114,4,Nos,1365193
SI-DEMO-000115,Sales Invoice,items,BIO-00453,47,Nos,456785
SI-DEMO-000116,Sales Invoice,items,BIO-00404,1,Nos,1300490
SI-DEMO-000117,Sales Invoice,items,BIO-00141,2,Nos,979962
SI-DEMO-000118,Sales Invoice,items,BIO-00180,9,Nos,2928731
SI-DEMO-000118,Sales Invoice,items,BIO-00241,48,Nos,94168
SI-DEMO-000119,Sales Invoice,items,BIO-00127,2,Nos,2884134
SI-DEMO-000120,Sales Invoice,items,BIO-00150,5,Nos,1593371
SI-DEMO-000121,Sales Invoice,items,BIO-00105,10,Nos,2956347
SI-DEMO-000122,Sales Invoice,items,BIO-00413,7,Nos,269786
SI-DEMO-000123,Sales Invoice,items,BIO-00135,3,Nos,561052
SI-DEMO-000123,Sales Invoice,items,BIO-00417,46,Nos,290449
SI-DEMO-000124,Sales Invoice,items,SVC-PATH,1098,Kg,247
SI-DEMO-000124,Sales Invoice,items,BIO-00071,45,Nos,437112
SI-DEMO-000125,Sales Invoice,items,BIO-00279,2,Nos,1107503
SI-DEMO-000126,Sales Invoice,items,BIO-00120,9,Nos,440547
SI-DEMO-000127,Sales Invoice,items,SVC-JAN-001,8,Nos,229
SI-DEMO-000128,Sales Invoice,items,BIO-00165,6,Nos,2929871
SI-DEMO-000129,Sales Invoice,items,BIO-00406,10,Nos,1633319
SI-DEMO-000130,Sales Invoice,items,BIO-00205,7,Nos,850701
SI-DEMO-000131,Sales Invoice,items,BIO-00277,3,Nos,520232
SI-DEMO-000131,Sales Invoice,items,BIO-00185,45,Nos,193303
SI-DEMO-000132,Sales Invoice,items,BIO-00091,8,Nos,2656054
SI-DEMO-000132,Sales Invoice,items,BIO-00205,40,Nos,453318
SI-DEMO-000133,Sales Invoice,items,SVC-SHRP,1964,Kg,198
SI-DEMO-000133,Sales Invoice,items,BIO-00178,9,Nos,94461
SI-DEMO-000134,Sales Invoice,items,BIO-00075,7,Nos,1692866
SI-DEMO-000134,Sales Invoice,items,BIO-00140,47,Nos,348114
SI-DEMO-000135,Sales Invoice,items,BIO-00072,10,Nos,2518821
SI-DEMO-000136,Sales Invoice,items,BIO-00062,6,Nos,293193
SI-DEMO-000136,Sales Invoice,items,BIO-00343,29,Nos,85773
SI-DEMO-000137,Sales Invoice,items,BIO-00400,7,Nos,237984
SI-DEMO-000138,Sales Invoice,items,BIO-00093,2,Nos,204091
SI-DEMO-000139,Sales Invoice,items,BIO-00417,4,Nos,2913295
SI-DEMO-000139,Sales Invoice,items,BIO-00068,40,Nos,22035
SI-DEMO-000140,Sales Invoice,items,BIO-00377,7,Nos,1105627
SI-DEMO-000140,Sales Invoice,items,BIO-00449,12,Nos,174824
SI-DEMO-000141,Sales Invoice,items,BIO-00328,7,Nos,1432780
SI-DEMO-000142,Sales Invoice,items,BIO-00074,4,Nos,92530
SI-DEMO-000143,Sales Invoice,items,BIO-00270,3,Nos,2880803
SI-DEMO-000143,Sales Invoice,items,BIO-00424,50,Nos,371158
SI-DEMO-000144,Sales Invoice,items,BIO-00406,1,Nos,2523342
SI-DEMO-000144,Sales Invoice,items,BIO-00433,12,Nos,113442
SI-DEMO-000145,Sales Invoice,items,BIO-00299,9,Nos,2285847
SI-DEMO-000146,Sales Invoice,items,BIO-00424,10,Nos,1721364
SI-DEMO-000147,Sales Invoice,items,BIO-00265,7,Nos,1989397
SI-DEMO-000147,Sales Invoice,items,BIO-00138,23,Nos,300776
SI-DEMO-000148,Sales Invoice,items,BIO-00160,4,Nos,1782145
SI-DEMO-000149,Sales Invoice,items,BIO-00204,4,Nos,2872780
SI-DEMO-000149,Sales Invoice,items,BIO-00162,46,Nos,306117
SI-DEMO-000150,Sales Invoice,items,BIO-00236,9,Nos,147872
SI-DEMO-000150,Sales Invoice,items,BIO-00441,35,Nos,245051
SI-DEMO-000151,Sales Invoice,items,BIO-00103,4,Nos,690157
SI-DEMO-000152,Sales Invoice,items,BIO-00353,5,Nos,2408245
SI-DEMO-000152,Sales Invoice,items,BIO-00432,43,Nos,422701
SI-DEMO-000153,Sales Invoice,items,BIO-00297,7,Nos,1494407
SI-DEMO-000154,Sales Invoice,items,BIO-00197,5,Nos,342121
SI-DEMO-000154,Sales Invoice,items,BIO-00351,30,Nos,193927
SI-DEMO-000155,Sales Invoice,items,BIO-00160,7,Nos,560774
SI-DEMO-000156,Sales Invoice,items,BIO-00141,10,Nos,856364
SI-DEMO-000156,Sales Invoice,items,BIO-00148,35,Nos,474709
SI-DEMO-000157,Sales Invoice,items,BIO-00235,7,Nos,1186217
SI-DEMO-000157,Sales Invoice,items,BIO-00421,14,Nos,70366
SI-DEMO-000158,Sales Invoice,items,BIO-00164,3,Nos,1543968
SI-DEMO-000159,Sales Invoice,items,BIO-00255,1,Nos,729740
SI-DEMO-000160,Sales Invoice,items,BIO-00355,4,Nos,2803467
SI-DEMO-000160,Sales Invoice,items,BIO-00346,30,Nos,355621
SI-DEMO-000161,Sales Invoice,items,BIO-00342,4,Nos,2571366
SI-DEMO-000161,Sales Invoice,items,BIO-00315,11,Nos,208165
SI-DEMO-000162,Sales Invoice,items,BIO-00204,10,Nos,894625
SI-DEMO-000162,Sales Invoice,items,BIO-00335,49,Nos,46724
SI-DEMO-000163,Sales Invoice,items,BIO-00293,10,Nos,2874190
SI-DEMO-000164,Sales Invoice,items,SVC-CYTO,533,Kg,603
SI-DEMO-000165,Sales Invoice,items,BIO-00202,6,Nos,50719
SI-DEMO-000165,Sales Invoice,items,BIO-00289,23,Nos,63372
SI-DEMO-000166,Sales Invoice,items,BIO-00164,3,Nos,1743579
SI-DEMO-000167,Sales Invoice,items,BIO-00231,7,Nos,2666707
SI-DEMO-000167,Sales Invoice,items,BIO-00269,46,Nos,491074
SI-DEMO-000168,Sales Invoice,items,BIO-00374,3,Nos,1942936
SI-DEMO-000168,Sales Invoice,items,BIO-00447,8,Nos,265974
SI-DEMO-000169,Sales Invoice,items,BIO-00214,6,Nos,1722713
SI-DEMO-000169,Sales Invoice,items,BIO-00166,39,Nos,311782
SI-DEMO-000170,Sales Invoice,items,BIO-00133,1,Nos,2732114
SI-DEMO-000170,Sales Invoice,items,BIO-00161,48,Nos,202812
SI-DEMO-000171,Sales Invoice,items,BIO-00307,6,Nos,1102270
SI-DEMO-000171,Sales Invoice,items,BIO-00199,1,Nos,420280
SI-DEMO-000172,Sales Invoice,items,BIO-00364,3,Nos,601765
SI-DEMO-000172,Sales Invoice,items,BIO-00344,34,Nos,361048
SI-DEMO-000173,Sales Invoice,items,BIO-00315,4,Nos,424985
SI-DEMO-000173,Sales Invoice,items,BIO-00056,39,Nos,188638
SI-DEMO-000174,Sales Invoice,items,BIO-00312,9,Nos,2412231
SI-DEMO-000175,Sales Invoice,items,BIO-00318,3,Nos,2946893
SI-DEMO-000176,Sales Invoice,items,BIO-00393,3,Nos,171020
SI-DEMO-000177,Sales Invoice,items,BIO-00443,7,Nos,2101347
SI-DEMO-000178,Sales Invoice,items,BIO-00448,7,Nos,2855827
SI-DEMO-000179,Sales Invoice,items,BIO-00311,7,Nos,695526
SI-DEMO-000180,Sales Invoice,items,BIO-00059,1,Nos,2872555
SI-DEMO-000181,Sales Invoice,items,BIO-00142,5,Nos,1379651
SI-DEMO-000182,Sales Invoice,items,BIO-00216,10,Nos,2797278
SI-DEMO-000183,Sales Invoice,items,BIO-00101,4,Nos,385642
SI-DEMO-000184,Sales Invoice,items,BIO-00089,6,Nos,683615
SI-DEMO-000184,Sales Invoice,items,BIO-00379,28,Nos,105090
SI-DEMO-000185,Sales Invoice,items,BIO-00248,4,Nos,2443928
SI-DEMO-000186,Sales Invoice,items,BIO-00353,7,Nos,1381822
SI-DEMO-000186,Sales Invoice,items,SVC-JAN-005,41,Nos,365
SI-DEMO-000187,Sales Invoice,items,BIO-00292,3,Nos,741041
SI-DEMO-000187,Sales Invoice,items,BIO-00346,17,Nos,382227
SI-DEMO-000188,Sales Invoice,items,BIO-00121,6,Nos,83894
SI-DEMO-000189,Sales Invoice,items,BIO-00080,9,Nos,1668667
SI-DEMO-000190,Sales Invoice,items,SVC-INF,843,Kg,307
SI-DEMO-000191,Sales Invoice,items,SVC-JAN-001,9,Nos,511
SI-DEMO-000192,Sales Invoice,items,BIO-00265,3,Nos,671805
SI-DEMO-000193,Sales Invoice,items,BIO-00429,10,Nos,2430260
SI-DEMO-000193,Sales Invoice,items,BIO-00325,47,Nos,79528
SI-DEMO-000194,Sales Invoice,items,BIO-00287,9,Nos,2431390
SI-DEMO-000194,Sales Invoice,items,SVC-TRN-009,41,Nos,559
SI-DEMO-000195,Sales Invoice,items,BIO-00300,5,Nos,1449869
SI-DEMO-000196,Sales Invoice,items,BIO-00189,4,Nos,737668
SI-DEMO-000197,Sales Invoice,items,BIO-00159,7,Nos,405966
SI-DEMO-000198,Sales Invoice,items,SVC-JAN-003,3,Nos,621
SI-DEMO-000199,Sales Invoice,items,SVC-TRN-008,6,Nos,196
SI-DEMO-000199,Sales Invoice,items,BIO-00361,19,Nos,326339
SI-DEMO-000200,Sales Invoice,items,BIO-00320,4,Nos,2579314
SI-DEMO-000201,Sales Invoice,items,BIO-00404,9,Nos,2357786
SI-DEMO-000202,Sales Invoice,items,BIO-00289,10,Nos,1554564
SI-DEMO-000202,Sales Invoice,items,BIO-00207,39,Nos,405904
SI-DEMO-000203,Sales Invoice,items,BIO-00164,5,Nos,720792
SI-DEMO-000204,Sales Invoice,items,BIO-00353,5,Nos,189739
SI-DEMO-000204,Sales Invoice,items,BIO-00186,7,Nos,262847
SI-DEMO-000205,Sales Invoice,items,BIO-00377,9,Nos,2153459
SI-DEMO-000206,Sales Invoice,items,BIO-00194,7,Nos,2933167
SI-DEMO-000207,Sales Invoice,items,BIO-00331,4,Nos,485820
SI-DEMO-000208,Sales Invoice,items,BIO-00232,9,Nos,2331473
SI-DEMO-000208,Sales Invoice,items,SVC-JAN-001,45,Nos,465
SI-DEMO-000209,Sales Invoice,items,BIO-00382,4,Nos,993314
SI-DEMO-000209,Sales Invoice,items,BIO-00348,38,Nos,363589
SI-DEMO-000210,Sales Invoice,items,BIO-00425,10,Nos,2694075
SI-DEMO-000210,Sales Invoice,items,BIO-00081,21,Nos,474840
SI-DEMO-000211,Sales Invoice,items,BIO-00099,7,Nos,1964866
SI-DEMO-000212,Sales Invoice,items,BIO-00081,6,Nos,1822916
SI-DEMO-000212,Sales Invoice,items,BIO-00256,27,Nos,147761
SI-DEMO-000213,Sales Invoice,items,BIO-00313,7,Nos,1445881
SI-DEMO-000213,Sales Invoice,items,BIO-00255,25,Nos,54125
SI-DEMO-000214,Sales Invoice,items,BIO-00232,2,Nos,290482
SI-DEMO-000214,Sales Invoice,items,BIO-00236,34,Nos,423114
SI-DEMO-000215,Sales Invoice,items,BIO-00099,2,Nos,1308217
SI-DEMO-000216,Sales Invoice,items,BIO-00296,5,Nos,2076678
SI-DEMO-000217,Sales Invoice,items,BIO-00237,4,Nos,2681383
SI-DEMO-000217,Sales Invoice,items,BIO-00407,12,Nos,107965
SI-DEMO-000218,Sales Invoice,items,SVC-GEN,1794,Kg,275
SI-DEMO-000218,Sales Invoice,items,BIO-00113,36,Nos,345994
SI-DEMO-000219,Sales Invoice,items,BIO-00430,10,Nos,1128798
SI-DEMO-000220,Sales Invoice,items,BIO-00068,2,Nos,228247
SI-DEMO-000220,Sales Invoice,items,BIO-00095,6,Nos,24826
SI-DEMO-000221,Sales Invoice,items,BIO-00268,9,Nos,1087995
SI-DEMO-000221,Sales Invoice,items,BIO-00189,31,Nos,360946
SI-DEMO-000222,Sales Invoice,items,BIO-00330,3,Nos,1154623
SI-DEMO-000222,Sales Invoice,items,BIO-00285,12,Nos,30619
SI-DEMO-000223,Sales Invoice,items,BIO-00160,9,Nos,1356041
SI-DEMO-000223,Sales Invoice,items,BIO-00428,48,Nos,251524
SI-DEMO-000224,Sales Invoice,items,BIO-00412,1,Nos,2093980
SI-DEMO-000225,Sales Invoice,items,BIO-00258,4,Nos,1134212
SI-DEMO-000226,Sales Invoice,items,BIO-00197,3,Nos,1156385
SI-DEMO-000227,Sales Invoice,items,BIO-00117,10,Nos,1624718
SI-DEMO-000228,Sales Invoice,items,BIO-00233,7,Nos,1706590
SI-DEMO-000229,Sales Invoice,items,BIO-00276,3,Nos,2936849
SI-DEMO-000230,Sales Invoice,items,BIO-00430,2,Nos,992728
SI-DEMO-000231,Sales Invoice,items,BIO-00289,4,Nos,1725688
SI-DEMO-000231,Sales Invoice,items,BIO-00183,47,Nos,396787
SI-DEMO-000232,Sales Invoice,items,BIO-00147,8,Nos,2446793
SI-DEMO-000233,Sales Invoice,items,BIO-00320,1,Nos,2748724
SI-DEMO-000234,Sales Invoice,items,BIO-00387,9,Nos,2501357
SI-DEMO-000234,Sales Invoice,items,BIO-00099,20,Nos,293093
SI-DEMO-000235,Sales Invoice,items,BIO-00107,9,Nos,1895521
SI-DEMO-000235,Sales Invoice,items,BIO-00383,43,Nos,70142
SI-DEMO-000236,Sales Invoice,items,BIO-00345,2,Nos,1246840
SI-DEMO-000237,Sales Invoice,items,BIO-00335,5,Nos,236653
SI-DEMO-000237,Sales Invoice,items,BIO-00196,23,Nos,43963
SI-DEMO-000238,Sales Invoice,items,BIO-00353,3,Nos,2545042
SI-DEMO-000239,Sales Invoice,items,SVC-JAN-004,3,Nos,702
SI-DEMO-000239,Sales Invoice,items,BIO-00293,1,Nos,77836
SI-DEMO-000240,Sales Invoice,items,BIO-00378,3,Nos,2674612
SI-DEMO-000241,Sales Invoice,items,BIO-00355,9,Nos,2025489
SI-DEMO-000241,Sales Invoice,items,BIO-00166,21,Nos,222214
SI-DEMO-000242,Sales Invoice,items,SVC-SHRP,351,Kg,774
SI-DEMO-000242,Sales Invoice,items,BIO-00116,9,Nos,64409
SI-DEMO-000243,Sales Invoice,items,BIO-00348,4,Nos,92571
SI-DEMO-000244,Sales Invoice,items,BIO-00425,3,Nos,737008
SI-DEMO-000244,Sales Invoice,items,BIO-00282,15,Nos,76307
SI-DEMO-000245,Sales Invoice,items,BIO-00099,2,Nos,1128749
SI-DEMO-000246,Sales Invoice,items,BIO-00293,9,Nos,903749
SI-DEMO-000247,Sales Invoice,items,BIO-00416,10,Nos,2283675
SI-DEMO-000248,Sales Invoice,items,BIO-00372,4,Nos,693207
SI-DEMO-000249,Sales Invoice,items,BIO-00119,5,Nos,2111011
SI-DEMO-000250,Sales Invoice,items,BIO-00337,10,Nos,2453225
SI-DEMO-000251,Sales Invoice,items,BIO-00421,7,Nos,2140014
SI-DEMO-000251,Sales Invoice,items,BIO-00085,42,Nos,126770
SI-DEMO-000252,Sales Invoice,items,BIO-00414,6,Nos,2911052
SI-DEMO-000253,Sales Invoice,items,BIO-00427,6,Nos,1095365
SI-DEMO-000254,Sales Invoice,items,BIO-00257,3,Nos,555404
SI-DEMO-000255,Sales Invoice,items,BIO-00293,10,Nos,2565332
SI-DEMO-000256,Sales Invoice,items,BIO-00113,6,Nos,739446
SI-DEMO-000257,Sales Invoice,items,SVC-TRN-010,8,Nos,373
SI-DEMO-000257,Sales Invoice,items,BIO-00441,42,Nos,192229
SI-DEMO-000258,Sales Invoice,items,BIO-00430,5,Nos,1841884
SI-DEMO-000259,Sales Invoice,items,BIO-00413,7,Nos,223996
SI-DEMO-000260,Sales Invoice,items,BIO-00356,8,Nos,1911820
SI-DEMO-000260,Sales Invoice,items,BIO-00251,43,Nos,392467
SI-DEMO-000261,Sales Invoice,items,BIO-00418,9,Nos,1529332
SI-DEMO-000262,Sales Invoice,items,BIO-00076,8,Nos,1335348
SI-DEMO-000263,Sales Invoice,items,BIO-00199,9,Nos,937741
SI-DEMO-000263,Sales Invoice,items,BIO-00421,3,Nos,310237
SI-DEMO-000264,Sales Invoice,items,BIO-00302,5,Nos,2488524
SI-DEMO-000265,Sales Invoice,items,BIO-00252,5,Nos,2497016
SI-DEMO-000266,Sales Invoice,items,BIO-00419,10,Nos,444366
SI-DEMO-000266,Sales Invoice,items,BIO-00407,34,Nos,465600
SI-DEMO-000267,Sales Invoice,items,BIO-00409,1,Nos,2842583
