name,naming_series,opportunity_from,party_name,status,company,transaction_date,opportunity_amount
OPP-DEMO-000044,OPP-.YYYY.-,Customer,Ghurki Trust Medical Center 45,Lost,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-08-30,973274
OPP-DEMO-000045,OPP-.YYYY.-,Customer,Surgimed Diagnostic Laboratory 26,Replied,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-09-09,2931263
OPP-DEMO-000046,OPP-.YYYY.-,Customer,Sharif Medical Private Hospital 23,Converted,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-09-10,4714416
OPP-DEMO-000047,OPP-.YYYY.-,Customer,LifeLine Medical Center 49,Lost,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-09-15,2813302
OPP-DEMO-000048,OPP-.YYYY.-,Customer,Sheikh Zayed District Hospital 14,Lost,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-09-24,4715736
OPP-DEMO-000049,OPP-.YYYY.-,Customer,Farooq Maternity Hospital 29,Lost,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-10-07,101641
OPP-DEMO-000050,OPP-.YYYY.-,Customer,Surgimed Medical Center 34,Quotation,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-10-10,2632031
OPP-DEMO-000051,OPP-.YYYY.-,Customer,Sheikh Zayed District Hospital 14,Converted,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-11-07,282044
OPP-DEMO-000052,OPP-.YYYY.-,Customer,Central Park Medical Center 36,Replied,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-11-13,4895027
OPP-DEMO-000053,OPP-.YYYY.-,Customer,Children Maternity Hospital 30,Converted,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-11-13,1409521
OPP-DEMO-000054,OPP-.YYYY.-,Customer,Citi Lab Medical Center 38,Quotation,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-12-12,2054496
OPP-DEMO-000055,OPP-.YYYY.-,Customer,Sheikh Zayed Medical Center 37,Lost,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-12-18,4873662
OPP-DEMO-000056,OPP-.YYYY.-,Customer,Prime Medical Center 47,Converted,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-12-23,4147781
OPP-DEMO-000057,OPP-.YYYY.-,Customer,CMH Medical Center 39,Converted,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-12-26,413495
OPP-DEMO-000058,OPP-.YYYY.-,Customer,Shaukat Khanum Medical Center 50,Converted,EnXi Biomedical & Waste Management (Pvt) Ltd,2025-12-27,3018650
OPP-DEMO-000059,OPP-.YYYY.-,Customer,Shaukat Khanum Medical Center 50,Quotation,EnXi Biomedical & Waste Management (Pvt) Ltd,2026-01-02,195918
OPP-DEMO-000060,OPP-.YYYY.-,Customer,Surgimed Medical Center 34,Open,EnXi Biomedical & Waste Management (Pvt) Ltd,2026-02-14,2778621
