name,naming_series,customer,transaction_date,delivery_date,company,status
SO-DEMO-000035,SO-.YYYY.-,Al-Rehman Tertiary Hospital 17,2023-03-15,2023-03-19,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000036,SO-.YYYY.-,Ghurki Trust Private Hospital 79,2023-03-16,2023-03-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000037,SO-.YYYY.-,Fatima Memorial Private Hospital 34,2023-03-16,2023-03-23,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000038,SO-.YYYY.-,Gulab Devi Specialized Hospital 22,2023-03-16,2023-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000039,SO-.YYYY.-,Dr. Essa Lab,2023-03-18,2023-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000040,SO-.YYYY.-,Agha Khan Lab Lahore,2023-03-18,2023-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000041,SO-.YYYY.-,Lady Willingdon Tertiary Hospital 06,2023-03-18,2023-03-30,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000042,SO-.YYYY.-,Sir Ganga Ram Tertiary Hospital 75,2023-03-19,2023-03-29,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000043,SO-.YYYY.-,Agha Khan Lab Lahore,2023-03-19,2023-03-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000044,SO-.YYYY.-,Doctors Teaching Hospital 35,2023-03-20,2023-03-29,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000045,SO-.YYYY.-,Chughtai Private Hospital 56,2023-03-21,2023-03-26,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000046,SO-.YYYY.-,Chughtai Tertiary Hospital 57,2023-03-21,2023-04-04,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000047,SO-.YYYY.-,Qamar Lab 120,2023-03-22,2023-04-04,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000048,SO-.YYYY.-,Prime Tertiary Hospital 24,2023-03-22,2023-04-03,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000049,SO-.YYYY.-,Surgimed General Hospital 58,2023-03-22,2023-03-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000050,SO-.YYYY.-,Punjab AIDS Control Program,2023-03-22,2023-03-31,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000051,SO-.YYYY.-,Sharif Medical General Hospital 03,2023-03-23,2023-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000052,SO-.YYYY.-,City Lab 107,2023-03-23,2023-03-26,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000053,SO-.YYYY.-,Punjab Health Department,2023-03-23,2023-04-04,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000054,SO-.YYYY.-,City Lab 107,2023-03-23,2023-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000055,SO-.YYYY.-,Jinnah Tertiary Hospital 15,2023-03-24,2023-03-27,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000056,SO-.YYYY.-,LifeLine Teaching Hospital 74,2023-03-25,2023-03-28,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000057,SO-.YYYY.-,Central Tertiary Hospital 07,2023-03-25,2023-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000058,SO-.YYYY.-,Chughtai Private Hospital 56,2023-03-25,2023-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000059,SO-.YYYY.-,Prime Tertiary Hospital 24,2023-03-26,2023-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000060,SO-.YYYY.-,LifeLine General Hospital 11,2023-03-26,2023-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000061,SO-.YYYY.-,Ghurki Trust Tertiary Hospital 12,2023-03-27,2023-04-06,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000062,SO-.YYYY.-,LifeLine General Hospital 11,2023-03-28,2023-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000063,SO-.YYYY.-,Surgimed District Hospital 23,2023-03-28,2023-04-11,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000064,SO-.YYYY.-,Doctors Tertiary Hospital 66,2023-03-29,2023-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000065,SO-.YYYY.-,Gulab Devi Tertiary Hospital 28,2023-03-29,2023-04-07,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000066,SO-.YYYY.-,Sir Ganga Ram General Hospital 54,2023-03-29,2023-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000067,SO-.YYYY.-,Agha Khan Lab Lahore 115,2023-03-30,2023-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000068,SO-.YYYY.-,Doctors Teaching Hospital 35,2023-03-30,2023-04-07,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000069,SO-.YYYY.-,Lahore General Tertiary Hospital 27,2023-03-30,2023-04-11,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000070,SO-.YYYY.-,Al-Rehman Tertiary Hospital 17,2023-04-01,2023-04-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000071,SO-.YYYY.-,Dr. Essa Lab 116,2023-04-02,2023-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000072,SO-.YYYY.-,Metro Diagnostics 108,2023-04-02,2023-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000073,SO-.YYYY.-,One Health Lab 117,2023-04-03,2023-04-06,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000074,SO-.YYYY.-,LifeLine Tertiary Hospital 64,2023-04-03,2023-04-07,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000075,SO-.YYYY.-,Shaukat Khanum Teaching Hospital 50,2023-04-03,2023-04-07,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000076,SO-.YYYY.-,Jinnah Tertiary Hospital 15,2023-04-03,2023-04-11,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000077,SO-.YYYY.-,Sir Ganga Ram District Hospital 08,2023-04-03,2023-04-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000078,SO-.YYYY.-,Punjab General Hospital 59,2023-04-04,2023-04-14,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000079,SO-.YYYY.-,Doctors Teaching Hospital 36,2023-04-04,2023-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000080,SO-.YYYY.-,Islamabad Diagnostics 105,2023-04-05,2023-04-17,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000081,SO-.YYYY.-,Sir Ganga Ram General Hospital 38,2023-04-05,2023-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000082,SO-.YYYY.-,Rehman Diagnostics,2023-04-05,2023-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000083,SO-.YYYY.-,Hameed Latif District Hospital 26,2023-04-05,2023-04-17,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000084,SO-.YYYY.-,Ghurki Trust Specialized Hospital 31,2023-04-05,2023-04-11,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000085,SO-.YYYY.-,LifeLine General Hospital 11,2023-04-06,2023-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000086,SO-.YYYY.-,Qamar Lab,2023-04-06,2023-04-09,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000087,SO-.YYYY.-,Lahore Diagnostics,2023-04-07,2023-04-09,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000088,SO-.YYYY.-,Ittefaq District Hospital 19,2023-04-09,2023-04-22,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000089,SO-.YYYY.-,Noor Specialized Hospital 51,2023-04-09,2023-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000090,SO-.YYYY.-,Punjab Healthcare Commission,2023-04-09,2023-04-18,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000091,SO-.YYYY.-,Lahore Diagnostics 106,2023-04-10,2023-04-22,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000092,SO-.YYYY.-,Directorate of Health Services Lahore,2023-04-10,2023-04-18,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000093,SO-.YYYY.-,Noor District Hospital 68,2023-04-10,2023-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000094,SO-.YYYY.-,Gulab Devi District Hospital 44,2023-04-10,2023-04-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000095,SO-.YYYY.-,Lahore General Tertiary Hospital 27,2023-04-11,2023-04-14,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000096,SO-.YYYY.-,Shaukat Khanum Lab,2023-04-11,2023-04-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000097,SO-.YYYY.-,LifeLine General Hospital 49,2023-04-11,2023-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000098,SO-.YYYY.-,Gulab Devi District Hospital 44,2023-04-12,2023-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000099,SO-.YYYY.-,Prime Teaching Hospital 14,2023-04-12,2023-04-17,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000100,SO-.YYYY.-,Gulab Devi Tertiary Hospital 28,2023-04-12,2023-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000101,SO-.YYYY.-,Prime Tertiary Hospital 24,2023-04-12,2023-04-21,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000102,SO-.YYYY.-,Metro Diagnostics 108,2023-04-12,2023-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000103,SO-.YYYY.-,Punjab Diagnostic Center 113,2023-04-13,2023-04-18,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000104,SO-.YYYY.-,Shaukat Khanum Lab,2023-04-14,2023-04-22,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000105,SO-.YYYY.-,Lady Willingdon Tertiary Hospital 06,2023-04-14,2023-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000106,SO-.YYYY.-,Ghurki Trust Specialized Hospital 31,2023-04-15,2023-04-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000107,SO-.YYYY.-,Services Specialized Hospital 04,2023-04-15,2023-04-22,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000108,SO-.YYYY.-,Excel Labs,2023-04-16,2023-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000109,SO-.YYYY.-,Noor District Hospital 68,2023-04-16,2023-04-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000110,SO-.YYYY.-,Shaukat Khanum District Hospital 45,2023-04-17,2023-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000111,SO-.YYYY.-,LifeLine General Hospital 11,2023-04-17,2023-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000112,SO-.YYYY.-,Services District Hospital 41,2023-04-17,2023-04-21,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000113,SO-.YYYY.-,Punjab General Hospital 59,2023-04-18,2023-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000114,SO-.YYYY.-,Sir Ganga Ram Tertiary Hospital 75,2023-04-18,2023-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000115,SO-.YYYY.-,Al-Rehman Tertiary Hospital 17,2023-04-18,2023-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000116,SO-.YYYY.-,Mayo Specialized Hospital 10,2023-04-18,2023-05-01,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000117,SO-.YYYY.-,Noor Specialized Hospital 51,2023-04-18,2023-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000118,SO-.YYYY.-,City Care Tertiary Hospital 20,2023-04-18,2023-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000119,SO-.YYYY.-,Sheikh Zayed General Hospital 39,2023-04-18,2023-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000120,SO-.YYYY.-,Fatima Memorial Private Hospital 34,2023-04-18,2023-04-25,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000121,SO-.YYYY.-,Mayo District Hospital 01,2023-04-19,2023-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000122,SO-.YYYY.-,Punjab Diagnostic Center,2023-04-19,2023-05-03,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000123,SO-.YYYY.-,Mayo Specialized Hospital 10,2023-04-19,2023-04-21,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000124,SO-.YYYY.-,Chughtai Lab 101,2023-04-19,2023-04-28,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000125,SO-.YYYY.-,Noor Teaching Hospital 76,2023-04-19,2023-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000126,SO-.YYYY.-,Chughtai Lab 101,2023-04-20,2023-04-25,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000127,SO-.YYYY.-,Sharif Medical Tertiary Hospital 43,2023-04-20,2023-04-26,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000128,SO-.YYYY.-,Primary & Secondary Healthcare Dept,2023-04-21,2023-04-25,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000129,SO-.YYYY.-,Agha Khan Lab Lahore,2023-04-21,2023-04-24,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000130,SO-.YYYY.-,Central Tertiary Hospital 07,2023-04-22,2023-05-04,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000131,SO-.YYYY.-,Mayo Teaching Hospital 05,2023-04-23,2023-05-04,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000132,SO-.YYYY.-,Shaukat Khanum Teaching Hospital 50,2023-04-25,2023-05-01,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000133,SO-.YYYY.-,Primary & Secondary Healthcare Dept,2023-04-26,2023-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000134,SO-.YYYY.-,Mayo Specialized Hospital 10,2023-04-26,2023-04-29,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000135,SO-.YYYY.-,Excel Labs,2023-04-26,2023-05-01,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000136,SO-.YYYY.-,Metro Diagnostics 108,2023-04-27,2023-05-06,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000137,SO-.YYYY.-,Mayo Teaching Hospital 05,2023-04-27,2023-05-08,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000138,SO-.YYYY.-,Saleem Lab,2023-04-29,2023-05-10,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000139,SO-.YYYY.-,Fatima Memorial Private Hospital 34,2023-04-29,2023-05-13,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000140,SO-.YYYY.-,Doctors Teaching Hospital 36,2023-04-30,2023-05-07,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000141,SO-.YYYY.-,Punjab AIDS Control Program,2023-05-01,2023-05-09,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000142,SO-.YYYY.-,City Lab,2023-05-01,2023-05-14,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000143,SO-.YYYY.-,Allied Lab,2023-05-02,2023-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000144,SO-.YYYY.-,Central Tertiary Hospital 07,2023-05-02,2023-05-06,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000145,SO-.YYYY.-,Punjab General Hospital 59,2023-05-02,2023-05-13,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000146,SO-.YYYY.-,Sharif Medical District Hospital 30,2023-05-03,2023-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000147,SO-.YYYY.-,Al-Razi Clinic 109,2023-05-03,2023-05-13,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000148,SO-.YYYY.-,Punjab Medical Faculty,2023-05-03,2023-05-07,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000149,SO-.YYYY.-,Sir Ganga Ram Tertiary Hospital 75,2023-05-03,2023-05-15,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000150,SO-.YYYY.-,LifeLine Teaching Hospital 74,2023-05-04,2023-05-09,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000151,SO-.YYYY.-,Gulab Devi Tertiary Hospital 28,2023-05-04,2023-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000152,SO-.YYYY.-,Prime Tertiary Hospital 24,2023-05-04,2023-05-06,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000153,SO-.YYYY.-,Punjab Medical Faculty,2023-05-05,2023-05-09,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000154,SO-.YYYY.-,Surgimed District Hospital 23,2023-05-06,2023-05-18,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000155,SO-.YYYY.-,IDC Lab,2023-05-06,2023-05-12,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000156,SO-.YYYY.-,Fatima Memorial Tertiary Hospital 09,2023-05-08,2023-05-15,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000157,SO-.YYYY.-,Sharif Medical Teaching Hospital 62,2023-05-09,2023-05-22,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000158,SO-.YYYY.-,Ghurki Trust Specialized Hospital 31,2023-05-10,2023-05-22,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000159,SO-.YYYY.-,Chughtai Private Hospital 56,2023-05-10,2023-05-21,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000160,SO-.YYYY.-,Children District Hospital 55,2023-05-11,2023-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000161,SO-.YYYY.-,City Care Tertiary Hospital 20,2023-05-12,2023-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000162,SO-.YYYY.-,Shaukat Khanum Specialized Hospital 63,2023-05-12,2023-05-26,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000163,SO-.YYYY.-,City Lab 107,2023-05-13,2023-05-16,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000164,SO-.YYYY.-,Lahore Diagnostics,2023-05-13,2023-05-19,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000165,SO-.YYYY.-,National District Hospital 18,2023-05-13,2023-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000166,SO-.YYYY.-,Specialized Healthcare & Medical Education,2023-05-14,2023-05-27,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000167,SO-.YYYY.-,Sir Ganga Ram District Hospital 08,2023-05-14,2023-05-28,EnXi Biomedical & Waste Management (Pvt) Ltd,To Deliver and Bill
SO-DEMO-000168,SO-.YYYY.-,Prime Teaching Hospital 14,2023-05-14,2023-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd,To Bill
SO-DEMO-000169,SO-.YYYY.-,Punjab AIDS Control Program,2023-05-14,2023-05-25,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
SO-DEMO-000170,SO-.YYYY.-,Dr. Essa Lab,2023-05-14,2023-05-26,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed
