name,naming_series,supplier,posting_date,company
PR-DEMO-000015,MAT-PRE-.YYYY.-,Sitara Chemical Industries,2023-03-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000016,MAT-PRE-.YYYY.-,Mobilink Business Solutions,2023-03-31,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000017,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-03-31,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000018,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2023-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000019,MAT-PRE-.YYYY.-,Punjab Plastics Industries,2023-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000020,MAT-PRE-.YYYY.-,KPMG Taseer Hadi,2023-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000021,MAT-PRE-.YYYY.-,Siemens Pakistan,2023-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000022,MAT-PRE-.YYYY.-,Allied Medical Supplies,2023-04-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000023,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2023-04-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000024,MAT-PRE-.YYYY.-,Auto Zone Pakistan,2023-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000025,MAT-PRE-.YYYY.-,Millat Tractors Parts,2023-04-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000026,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-04-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000027,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2023-04-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000028,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000029,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000030,MAT-PRE-.YYYY.-,ICI Pakistan,2023-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000031,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2023-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000032,MAT-PRE-.YYYY.-,Sapphire Textiles (Uniforms),2023-04-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000033,MAT-PRE-.YYYY.-,ICI Pakistan,2023-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000034,MAT-PRE-.YYYY.-,Diamond Tyres Ltd,2023-04-26,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000035,MAT-PRE-.YYYY.-,Sitara Chemical Industries,2023-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000036,MAT-PRE-.YYYY.-,Meezan Bank Leasing,2023-04-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000037,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2023-05-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000038,MAT-PRE-.YYYY.-,Siemens Pakistan,2023-05-04,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000039,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-05-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000040,MAT-PRE-.YYYY.-,Auto Zone Pakistan,2023-05-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000041,MAT-PRE-.YYYY.-,Punjab Safety Equipment,2023-05-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000042,MAT-PRE-.YYYY.-,Descon Engineering,2023-05-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000043,MAT-PRE-.YYYY.-,City Diesel Station,2023-05-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000044,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-05-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000045,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2023-05-14,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000046,MAT-PRE-.YYYY.-,State Life Insurance,2023-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000047,MAT-PRE-.YYYY.-,Allied Medical Supplies,2023-05-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000048,MAT-PRE-.YYYY.-,State Life Insurance,2023-05-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000049,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2023-05-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000050,MAT-PRE-.YYYY.-,Auto Zone Pakistan,2023-05-27,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000051,MAT-PRE-.YYYY.-,Atlas Honda Parts,2023-05-27,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000052,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2023-05-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000053,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-06-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000054,MAT-PRE-.YYYY.-,Meezan Bank Leasing,2023-06-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000055,MAT-PRE-.YYYY.-,EFU General Insurance,2023-06-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000056,MAT-PRE-.YYYY.-,Meezan Bank Leasing,2023-06-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000057,MAT-PRE-.YYYY.-,Bank Alfalah Leasing,2023-06-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000058,MAT-PRE-.YYYY.-,CleanTech Supplies,2023-06-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000059,MAT-PRE-.YYYY.-,Meezan Bank Leasing,2023-06-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000060,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-06-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000061,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-06-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000062,MAT-PRE-.YYYY.-,Siemens Pakistan,2023-06-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000063,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-06-27,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000064,MAT-PRE-.YYYY.-,Ernst & Young Pakistan,2023-06-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000065,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-06-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000066,MAT-PRE-.YYYY.-,CleanTech Supplies,2023-07-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000067,MAT-PRE-.YYYY.-,Siemens Pakistan,2023-07-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000068,MAT-PRE-.YYYY.-,Mobilink Business Solutions,2023-07-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000069,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2023-07-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000070,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-07-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000071,MAT-PRE-.YYYY.-,KPMG Taseer Hadi,2023-07-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000072,MAT-PRE-.YYYY.-,National Tire House,2023-07-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000073,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-07-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000074,MAT-PRE-.YYYY.-,Allied Medical Supplies,2023-07-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000075,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2023-07-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000076,MAT-PRE-.YYYY.-,Total Parco,2023-07-31,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000077,MAT-PRE-.YYYY.-,Diamond Tyres Ltd,2023-08-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000078,MAT-PRE-.YYYY.-,Sapphire Textiles (Uniforms),2023-08-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000079,MAT-PRE-.YYYY.-,National Tire House,2023-08-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000080,MAT-PRE-.YYYY.-,Ravi Engineering Works,2023-08-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000081,MAT-PRE-.YYYY.-,State Life Insurance,2023-08-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000082,MAT-PRE-.YYYY.-,Auto Zone Pakistan,2023-08-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000083,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2023-08-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000084,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-08-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000085,MAT-PRE-.YYYY.-,Allied Medical Supplies,2023-08-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000086,MAT-PRE-.YYYY.-,Ravi Engineering Works,2023-08-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000087,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-09-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000088,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-09-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000089,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2023-09-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000090,MAT-PRE-.YYYY.-,Descon Engineering,2023-09-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000091,MAT-PRE-.YYYY.-,Metro Fuel Distributors,2023-09-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000092,MAT-PRE-.YYYY.-,Sapphire Textiles (Uniforms),2023-09-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000093,MAT-PRE-.YYYY.-,Ravi Engineering Works,2023-09-14,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000094,MAT-PRE-.YYYY.-,NHA Maintenance Services,2023-09-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000095,MAT-PRE-.YYYY.-,Ravi Engineering Works,2023-09-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000096,MAT-PRE-.YYYY.-,City Diesel Station,2023-09-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000097,MAT-PRE-.YYYY.-,UBL Fund Managers,2023-09-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000098,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2023-09-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000099,MAT-PRE-.YYYY.-,SafeHands PPE,2023-09-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000100,MAT-PRE-.YYYY.-,National Tire House,2023-09-28,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000101,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2023-09-28,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000102,MAT-PRE-.YYYY.-,Mobilink Business Solutions,2023-09-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000103,MAT-PRE-.YYYY.-,SecureTrack GPS,2023-10-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000104,MAT-PRE-.YYYY.-,EFU General Insurance,2023-10-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000105,MAT-PRE-.YYYY.-,Mobilink Business Solutions,2023-10-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000106,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2023-10-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000107,MAT-PRE-.YYYY.-,Auto Zone Pakistan,2023-10-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000108,MAT-PRE-.YYYY.-,KPMG Taseer Hadi,2023-10-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000109,MAT-PRE-.YYYY.-,Ravi Engineering Works,2023-10-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000110,MAT-PRE-.YYYY.-,Lahore Steel Fabricators,2023-10-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000111,MAT-PRE-.YYYY.-,SafeHands PPE,2023-10-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000112,MAT-PRE-.YYYY.-,Total Parco,2023-10-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000113,MAT-PRE-.YYYY.-,EFU General Insurance,2023-10-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000114,MAT-PRE-.YYYY.-,Bank Alfalah Leasing,2023-10-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000115,MAT-PRE-.YYYY.-,Adamjee Insurance,2023-10-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000116,MAT-PRE-.YYYY.-,Allied Medical Supplies,2023-10-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000117,MAT-PRE-.YYYY.-,Metro Fuel Distributors,2023-10-28,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000118,MAT-PRE-.YYYY.-,National Chemical Corp,2023-10-31,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000119,MAT-PRE-.YYYY.-,Total Parco,2023-11-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000120,MAT-PRE-.YYYY.-,State Life Insurance,2023-11-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000121,MAT-PRE-.YYYY.-,General Tyre Pakistan,2023-11-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000122,MAT-PRE-.YYYY.-,Total Parco,2023-11-04,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000123,MAT-PRE-.YYYY.-,State Life Insurance,2023-11-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000124,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-11-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000125,MAT-PRE-.YYYY.-,Mobilink Business Solutions,2023-11-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000126,MAT-PRE-.YYYY.-,National Chemical Corp,2023-11-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000127,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2023-11-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000128,MAT-PRE-.YYYY.-,National Chemical Corp,2023-11-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000129,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2023-12-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000130,MAT-PRE-.YYYY.-,Descon Engineering,2023-12-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000131,MAT-PRE-.YYYY.-,Bank Alfalah Leasing,2023-12-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000132,MAT-PRE-.YYYY.-,Lahore Steel Fabricators,2023-12-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000133,MAT-PRE-.YYYY.-,Pakistan Refinery Fuels,2023-12-14,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000134,MAT-PRE-.YYYY.-,NHA Maintenance Services,2023-12-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000135,MAT-PRE-.YYYY.-,Total Parco,2023-12-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000136,MAT-PRE-.YYYY.-,National Chemical Corp,2023-12-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000137,MAT-PRE-.YYYY.-,Descon Engineering,2023-12-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000138,MAT-PRE-.YYYY.-,Punjab IT Solutions,2023-12-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000139,MAT-PRE-.YYYY.-,State Life Insurance,2023-12-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000140,MAT-PRE-.YYYY.-,Siemens Pakistan,2023-12-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000141,MAT-PRE-.YYYY.-,Lahore Steel Fabricators,2023-12-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000142,MAT-PRE-.YYYY.-,Millat Tractors Parts,2024-01-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000143,MAT-PRE-.YYYY.-,Millat Tractors Parts,2024-01-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000144,MAT-PRE-.YYYY.-,Total Parco,2024-01-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000145,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2024-01-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000146,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2024-01-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000147,MAT-PRE-.YYYY.-,Punjab IT Solutions,2024-01-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000148,MAT-PRE-.YYYY.-,Sapphire Textiles (Uniforms),2024-01-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000149,MAT-PRE-.YYYY.-,Punjab Safety Equipment,2024-01-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000150,MAT-PRE-.YYYY.-,EFU General Insurance,2024-01-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000151,MAT-PRE-.YYYY.-,Sitara Chemical Industries,2024-01-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000152,MAT-PRE-.YYYY.-,Siemens Pakistan,2024-01-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000153,MAT-PRE-.YYYY.-,SafeHands PPE,2024-01-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000154,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2024-01-31,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000155,MAT-PRE-.YYYY.-,Allied Medical Supplies,2024-02-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000156,MAT-PRE-.YYYY.-,City Diesel Station,2024-02-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000157,MAT-PRE-.YYYY.-,City Diesel Station,2024-02-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000158,MAT-PRE-.YYYY.-,UBL Fund Managers,2024-02-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000159,MAT-PRE-.YYYY.-,Millat Tractors Parts,2024-02-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000160,MAT-PRE-.YYYY.-,Eco Packaging Solutions,2024-02-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000161,MAT-PRE-.YYYY.-,National Tire House,2024-02-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000162,MAT-PRE-.YYYY.-,State Life Insurance,2024-02-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000163,MAT-PRE-.YYYY.-,Metro Fuel Distributors,2024-02-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000164,MAT-PRE-.YYYY.-,NHA Maintenance Services,2024-02-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000165,MAT-PRE-.YYYY.-,General Tyre Pakistan,2024-02-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000166,MAT-PRE-.YYYY.-,National Chemical Corp,2024-02-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000167,MAT-PRE-.YYYY.-,Punjab IT Solutions,2024-03-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000168,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2024-03-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000169,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2024-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000170,MAT-PRE-.YYYY.-,Pakistan Oxygen Ltd,2024-03-15,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000171,MAT-PRE-.YYYY.-,General Tyre Pakistan,2024-03-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000172,MAT-PRE-.YYYY.-,Shell Lubricants Pakistan,2024-03-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000173,MAT-PRE-.YYYY.-,State Life Insurance,2024-03-17,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000174,MAT-PRE-.YYYY.-,ICI Pakistan,2024-03-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000175,MAT-PRE-.YYYY.-,Punjab Revenue Authority,2024-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000176,MAT-PRE-.YYYY.-,Millat Tractors Parts,2024-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000177,MAT-PRE-.YYYY.-,Ernst & Young Pakistan,2024-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000178,MAT-PRE-.YYYY.-,Diamond Tyres Ltd,2024-03-26,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000179,MAT-PRE-.YYYY.-,ICI Pakistan,2024-03-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000180,MAT-PRE-.YYYY.-,General Tyre Pakistan,2024-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000181,MAT-PRE-.YYYY.-,Sapphire Textiles (Uniforms),2024-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000182,MAT-PRE-.YYYY.-,Total Parco,2024-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000183,MAT-PRE-.YYYY.-,UBL Fund Managers,2024-04-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000184,MAT-PRE-.YYYY.-,Lahore Steel Fabricators,2024-04-04,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000185,MAT-PRE-.YYYY.-,Descon Engineering,2024-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000186,MAT-PRE-.YYYY.-,Auto Zone Pakistan,2024-04-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000187,MAT-PRE-.YYYY.-,Allied Medical Supplies,2024-04-14,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000188,MAT-PRE-.YYYY.-,Atlas Honda Parts,2024-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000189,MAT-PRE-.YYYY.-,Refractory Solutions Pvt,2024-04-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000190,MAT-PRE-.YYYY.-,Lahore Steel Fabricators,2024-04-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000191,MAT-PRE-.YYYY.-,Sapphire Textiles (Uniforms),2024-04-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000192,MAT-PRE-.YYYY.-,Atlas Honda Parts,2024-04-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000193,MAT-PRE-.YYYY.-,Siemens Pakistan,2024-04-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000194,MAT-PRE-.YYYY.-,Sitara Chemical Industries,2024-04-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000195,MAT-PRE-.YYYY.-,Adamjee Insurance,2024-04-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PR-DEMO-000196,MAT-PRE-.YYYY.-,Pakistan Refinery Fuels,2024-04-24,EnXi Biomedical & Waste Management (Pvt) Ltd
