parent,parenttype,parentfield,item_code,qty,uom,warehouse,rate
SO-DEMO-000084,Sales Order,items,CNT-016,37,Nos,Central Warehouse - ENXI,2727
SO-DEMO-000085,Sales Order,items,SVC-TRN-009,1590,Nos,,379
SO-DEMO-000085,Sales Order,items,CNT-020,32,Nos,Central Warehouse - ENXI,3700
SO-DEMO-000086,Sales Order,items,SVC-PHRM,1757,Kg,,546
SO-DEMO-000086,Sales Order,items,FUEL-054,1,Nos,Central Warehouse - ENXI,2716452
SO-DEMO-000087,Sales Order,items,SVC-SHRP,818,Kg,,690
SO-DEMO-000087,Sales Order,items,CNT-016,10,Nos,Central Warehouse - ENXI,2900
SO-DEMO-000088,Sales Order,items,SVC-PATH,978,Kg,,567
SO-DEMO-000089,Sales Order,items,SVC-TRN-007,1334,Nos,,297
SO-DEMO-000089,Sales Order,items,CNT-017,19,Nos,Central Warehouse - ENXI,2792
SO-DEMO-000090,Sales Order,items,SVC-JAN-003,850,Nos,,316
SO-DEMO-000090,Sales Order,items,CNT-019,13,Nos,Central Warehouse - ENXI,3803
SO-DEMO-000091,Sales Order,items,SVC-CHEM,755,Kg,,169
SO-DEMO-000091,Sales Order,items,SPR-043,3,Nos,Central Warehouse - ENXI,2773074
SO-DEMO-000092,Sales Order,items,SVC-GEN,1207,Kg,,766
SO-DEMO-000092,Sales Order,items,CNT-016,6,Nos,Central Warehouse - ENXI,3754
SO-DEMO-000093,Sales Order,items,SVC-CYTO,465,Kg,,614
SO-DEMO-000093,Sales Order,items,CNT-014,25,Nos,Central Warehouse - ENXI,3431
SO-DEMO-000094,Sales Order,items,SVC-JAN-006,272,Nos,,628
SO-DEMO-000094,Sales Order,items,CNT-012,1,Nos,Central Warehouse - ENXI,839010
SO-DEMO-000095,Sales Order,items,SVC-GEN,50,Kg,,538
SO-DEMO-000095,Sales Order,items,CNT-018,20,Nos,Central Warehouse - ENXI,4704
SO-DEMO-000096,Sales Order,items,SVC-TRN-009,1168,Nos,,737
SO-DEMO-000097,Sales Order,items,SVC-SHRP,1875,Kg,,708
SO-DEMO-000097,Sales Order,items,CNT-016,42,Nos,Central Warehouse - ENXI,902
SO-DEMO-000098,Sales Order,items,SVC-PATH,338,Kg,,555
SO-DEMO-000098,Sales Order,items,CNT-012,11,Nos,Central Warehouse - ENXI,4032
SO-DEMO-000099,Sales Order,items,SVC-CYTO,1446,Kg,,406
SO-DEMO-000100,Sales Order,items,SVC-TRN-009,1416,Nos,,675
SO-DEMO-000100,Sales Order,items,CNT-014,9,Nos,Central Warehouse - ENXI,614
SO-DEMO-000101,Sales Order,items,SVC-TRN-011,1744,Nos,,336
SO-DEMO-000101,Sales Order,items,CNT-015,21,Nos,Central Warehouse - ENXI,4755
SO-DEMO-000102,Sales Order,items,SVC-TRN-011,746,Nos,,653
SO-DEMO-000103,Sales Order,items,SVC-JAN-001,1841,Nos,,702
SO-DEMO-000103,Sales Order,items,CNT-013,37,Nos,Central Warehouse - ENXI,1951
SO-DEMO-000104,Sales Order,items,SVC-JAN-004,518,Nos,,736
SO-DEMO-000105,Sales Order,items,SVC-TRN-011,1522,Nos,,588
SO-DEMO-000106,Sales Order,items,SVC-PATH,874,Kg,,658
SO-DEMO-000106,Sales Order,items,CNT-018,38,Nos,Central Warehouse - ENXI,1700
SO-DEMO-000107,Sales Order,items,SVC-JAN-006,1157,Nos,,297
SO-DEMO-000107,Sales Order,items,CNT-014,16,Nos,Central Warehouse - ENXI,2334
SO-DEMO-000108,Sales Order,items,SVC-SHRP,855,Kg,,524
SO-DEMO-000108,Sales Order,items,CNT-017,39,Nos,Central Warehouse - ENXI,4164
SO-DEMO-000109,Sales Order,items,SVC-CHEM,1550,Kg,,224
SO-DEMO-000110,Sales Order,items,SVC-CHEM,720,Kg,,731
SO-DEMO-000111,Sales Order,items,SVC-TRN-011,1632,Nos,,424
SO-DEMO-000111,Sales Order,items,CNT-020,23,Nos,Central Warehouse - ENXI,4978
SO-DEMO-000112,Sales Order,items,SVC-JAN-004,1685,Nos,,184
SO-DEMO-000113,Sales Order,items,SVC-TRN-007,1522,Nos,,762
SO-DEMO-000114,Sales Order,items,SVC-JAN-003,1857,Nos,,770
SO-DEMO-000115,Sales Order,items,SVC-JAN-003,760,Nos,,612
SO-DEMO-000116,Sales Order,items,SVC-SHRP,781,Kg,,333
SO-DEMO-000116,Sales Order,items,CNT-020,30,Nos,Central Warehouse - ENXI,4166
SO-DEMO-000117,Sales Order,items,SVC-INF,1962,Kg,,780
SO-DEMO-000118,Sales Order,items,SVC-TRN-008,1063,Nos,,775
SO-DEMO-000119,Sales Order,items,SVC-TRN-007,1085,Nos,,659
SO-DEMO-000120,Sales Order,items,SVC-CYTO,1061,Kg,,189
SO-DEMO-000121,Sales Order,items,SVC-JAN-001,805,Nos,,203
SO-DEMO-000122,Sales Order,items,SVC-JAN-006,1540,Nos,,784
SO-DEMO-000123,Sales Order,items,SVC-GEN,622,Kg,,704
SO-DEMO-000123,Sales Order,items,CNT-017,28,Nos,Central Warehouse - ENXI,2698
SO-DEMO-000124,Sales Order,items,SVC-JAN-006,451,Nos,,293
SO-DEMO-000125,Sales Order,items,SVC-CHEM,1449,Kg,,695
SO-DEMO-000126,Sales Order,items,SVC-TRN-011,1896,Nos,,736
SO-DEMO-000127,Sales Order,items,SVC-JAN-004,432,Nos,,695
SO-DEMO-000128,Sales Order,items,SVC-JAN-006,393,Nos,,739
SO-DEMO-000128,Sales Order,items,CNT-015,49,Nos,Central Warehouse - ENXI,2320
SO-DEMO-000129,Sales Order,items,SVC-TRN-010,267,Nos,,723
SO-DEMO-000130,Sales Order,items,SVC-TRN-010,588,Nos,,545
SO-DEMO-000131,Sales Order,items,SVC-TRN-009,1633,Nos,,444
SO-DEMO-000132,Sales Order,items,SVC-PHRM,1847,Kg,,674
SO-DEMO-000132,Sales Order,items,CNT-019,2,Nos,Central Warehouse - ENXI,2662392
SO-DEMO-000133,Sales Order,items,SVC-CYTO,1118,Kg,,491
SO-DEMO-000134,Sales Order,items,SVC-CYTO,857,Kg,,464
SO-DEMO-000134,Sales Order,items,CNT-016,34,Nos,Central Warehouse - ENXI,1380
SO-DEMO-000135,Sales Order,items,SVC-CYTO,1542,Kg,,327
SO-DEMO-000136,Sales Order,items,SVC-PHRM,537,Kg,,586
SO-DEMO-000137,Sales Order,items,SVC-CHEM,1477,Kg,,261
SO-DEMO-000137,Sales Order,items,CNT-013,7,Nos,Central Warehouse - ENXI,3398
SO-DEMO-000138,Sales Order,items,SVC-PHRM,1475,Kg,,755
SO-DEMO-000139,Sales Order,items,SVC-INF,606,Kg,,519
SO-DEMO-000139,Sales Order,items,CNT-020,38,Nos,Central Warehouse - ENXI,3353
SO-DEMO-000140,Sales Order,items,SVC-TRN-007,902,Nos,,209
SO-DEMO-000141,Sales Order,items,SVC-TRN-011,955,Nos,,436
SO-DEMO-000141,Sales Order,items,CNT-014,13,Nos,Central Warehouse - ENXI,4536
SO-DEMO-000142,Sales Order,items,SVC-TRN-011,1344,Nos,,497
SO-DEMO-000143,Sales Order,items,SVC-JAN-003,414,Nos,,664
SO-DEMO-000143,Sales Order,items,CNT-013,10,Nos,Central Warehouse - ENXI,4007
SO-DEMO-000144,Sales Order,items,SVC-PATH,137,Kg,,309
SO-DEMO-000145,Sales Order,items,SVC-SHRP,534,Kg,,284
SO-DEMO-000146,Sales Order,items,SVC-JAN-004,191,Nos,,363
SO-DEMO-000146,Sales Order,items,CNT-017,35,Nos,Central Warehouse - ENXI,776
SO-DEMO-000147,Sales Order,items,SVC-PHRM,631,Kg,,460
SO-DEMO-000147,Sales Order,items,CNT-020,38,Nos,Central Warehouse - ENXI,3638
SO-DEMO-000148,Sales Order,items,SVC-JAN-001,916,Nos,,609
SO-DEMO-000149,Sales Order,items,SVC-CHEM,1579,Kg,,156
SO-DEMO-000149,Sales Order,items,CNT-020,50,Nos,Central Warehouse - ENXI,1873
SO-DEMO-000150,Sales Order,items,SVC-TRN-010,497,Nos,,327
SO-DEMO-000151,Sales Order,items,SVC-CYTO,1762,Kg,,214
SO-DEMO-000151,Sales Order,items,CNT-014,46,Nos,Central Warehouse - ENXI,558
SO-DEMO-000152,Sales Order,items,SVC-INF,1863,Kg,,242
SO-DEMO-000153,Sales Order,items,SVC-TRN-011,998,Nos,,503
SO-DEMO-000153,Sales Order,items,CNT-014,35,Nos,Central Warehouse - ENXI,3809
SO-DEMO-000154,Sales Order,items,SVC-GEN,1661,Kg,,335
SO-DEMO-000155,Sales Order,items,SVC-TRN-011,1335,Nos,,422
SO-DEMO-000156,Sales Order,items,SVC-SHRP,1096,Kg,,614
SO-DEMO-000157,Sales Order,items,SVC-JAN-006,158,Nos,,712
SO-DEMO-000158,Sales Order,items,SVC-GEN,179,Kg,,618
SO-DEMO-000159,Sales Order,items,SVC-GEN,1765,Kg,,179
SO-DEMO-000160,Sales Order,items,SVC-GEN,256,Kg,,587
SO-DEMO-000161,Sales Order,items,SVC-JAN-001,1182,Nos,,713
SO-DEMO-000161,Sales Order,items,CNT-014,25,Nos,Central Warehouse - ENXI,3479
SO-DEMO-000162,Sales Order,items,SVC-TRN-011,466,Nos,,477
SO-DEMO-000163,Sales Order,items,SVC-TRN-008,1559,Nos,,654
SO-DEMO-000163,Sales Order,items,CNT-018,23,Nos,Central Warehouse - ENXI,2524
SO-DEMO-000164,Sales Order,items,SVC-TRN-009,1301,Nos,,269
SO-DEMO-000164,Sales Order,items,CNT-019,43,Nos,Central Warehouse - ENXI,4094
SO-DEMO-000164,Sales Order,items,SPR-048,1,Nos,Central Warehouse - ENXI,1996088
SO-DEMO-000165,Sales Order,items,SVC-JAN-004,554,Nos,,760
SO-DEMO-000166,Sales Order,items,SVC-CYTO,1054,Kg,,484
SO-DEMO-000166,Sales Order,items,CNT-020,38,Nos,Central Warehouse - ENXI,2490
SO-DEMO-000167,Sales Order,items,SVC-CHEM,1674,Kg,,523
SO-DEMO-000168,Sales Order,items,SVC-GEN,127,Kg,,195
SO-DEMO-000168,Sales Order,items,CNT-020,36,Nos,Central Warehouse - ENXI,4314
SO-DEMO-000169,Sales Order,items,SVC-JAN-005,1450,Nos,,365
SO-DEMO-000170,Sales Order,items,SVC-JAN-005,428,Nos,,392
SO-DEMO-000171,Sales Order,items,SVC-CYTO,85,Kg,,434
SO-DEMO-000172,Sales Order,items,SVC-JAN-004,274,Nos,,621
SO-DEMO-000172,Sales Order,items,CNT-014,18,Nos,Central Warehouse - ENXI,1266
SO-DEMO-000172,Sales Order,items,PPE-021,3,Nos,Central Warehouse - ENXI,2570903
SO-DEMO-000173,Sales Order,items,SVC-JAN-005,1409,Nos,,174
SO-DEMO-000173,Sales Order,items,CNT-015,35,Nos,Central Warehouse - ENXI,2770
SO-DEMO-000174,Sales Order,items,SVC-CYTO,1917,Kg,,155
SO-DEMO-000175,Sales Order,items,SVC-TRN-009,240,Nos,,773
SO-DEMO-000176,Sales Order,items,SVC-CHEM,286,Kg,,362
SO-DEMO-000176,Sales Order,items,CNT-019,31,Nos,Central Warehouse - ENXI,4322
SO-DEMO-000177,Sales Order,items,SVC-SHRP,287,Kg,,265
SO-DEMO-000178,Sales Order,items,SVC-PATH,964,Kg,,289
SO-DEMO-000179,Sales Order,items,SVC-CYTO,125,Kg,,450
SO-DEMO-000180,Sales Order,items,SVC-INF,1402,Kg,,333
SO-DEMO-000181,Sales Order,items,SVC-PHRM,356,Kg,,438
SO-DEMO-000181,Sales Order,items,CNT-013,23,Nos,Central Warehouse - ENXI,686
SO-DEMO-000182,Sales Order,items,SVC-CHEM,1938,Kg,,495
SO-DEMO-000183,Sales Order,items,SVC-JAN-003,819,Nos,,281
SO-DEMO-000183,Sales Order,items,CNT-015,49,Nos,Central Warehouse - ENXI,3504
SO-DEMO-000184,Sales Order,items,SVC-SHRP,1709,Kg,,151
SO-DEMO-000185,Sales Order,items,SVC-TRN-009,1736,Nos,,167
SO-DEMO-000186,Sales Order,items,SVC-JAN-002,440,Nos,,584
SO-DEMO-000187,Sales Order,items,SVC-CHEM,484,Kg,,177
SO-DEMO-000187,Sales Order,items,CNT-013,14,Nos,Central Warehouse - ENXI,710
SO-DEMO-000188,Sales Order,items,SVC-PHRM,791,Kg,,778
SO-DEMO-000188,Sales Order,items,CNT-015,40,Nos,Central Warehouse - ENXI,4553
SO-DEMO-000189,Sales Order,items,SVC-PATH,957,Kg,,237
SO-DEMO-000190,Sales Order,items,SVC-CHEM,309,Kg,,438
SO-DEMO-000191,Sales Order,items,SVC-JAN-002,1819,Nos,,312
SO-DEMO-000192,Sales Order,items,SVC-PATH,561,Kg,,210
SO-DEMO-000192,Sales Order,items,CNT-017,30,Nos,Central Warehouse - ENXI,4566
SO-DEMO-000193,Sales Order,items,SVC-JAN-003,1325,Nos,,216
SO-DEMO-000194,Sales Order,items,SVC-TRN-007,1777,Nos,,326
SO-DEMO-000195,Sales Order,items,SVC-TRN-008,939,Nos,,152
SO-DEMO-000195,Sales Order,items,CNT-020,8,Nos,Central Warehouse - ENXI,1470
SO-DEMO-000196,Sales Order,items,SVC-INF,1700,Kg,,572
SO-DEMO-000197,Sales Order,items,SVC-TRN-009,381,Nos,,583
SO-DEMO-000198,Sales Order,items,SVC-TRN-008,269,Nos,,301
SO-DEMO-000199,Sales Order,items,SVC-TRN-008,222,Nos,,350
SO-DEMO-000200,Sales Order,items,SVC-TRN-008,1509,Nos,,384
SO-DEMO-000201,Sales Order,items,SVC-JAN-002,1057,Nos,,457
SO-DEMO-000201,Sales Order,items,CNT-018,16,Nos,Central Warehouse - ENXI,1435
SO-DEMO-000202,Sales Order,items,SVC-TRN-007,422,Nos,,507
SO-DEMO-000203,Sales Order,items,SVC-TRN-007,1270,Nos,,409
SO-DEMO-000204,Sales Order,items,SVC-CYTO,1293,Kg,,562
SO-DEMO-000204,Sales Order,items,CNT-019,21,Nos,Central Warehouse - ENXI,4083
SO-DEMO-000205,Sales Order,items,SVC-JAN-005,1248,Nos,,215
SO-DEMO-000206,Sales Order,items,SVC-PATH,594,Kg,,562
SO-DEMO-000207,Sales Order,items,SVC-INF,1596,Kg,,219
SO-DEMO-000207,Sales Order,items,SPR-049,2,Nos,Central Warehouse - ENXI,2945656
SO-DEMO-000208,Sales Order,items,SVC-PATH,90,Kg,,418
SO-DEMO-000209,Sales Order,items,SVC-JAN-002,1225,Nos,,153
SO-DEMO-000210,Sales Order,items,SVC-PATH,573,Kg,,775
SO-DEMO-000210,Sales Order,items,SPR-049,2,Nos,Central Warehouse - ENXI,2861970
SO-DEMO-000211,Sales Order,items,SVC-TRN-010,1059,Nos,,379
SO-DEMO-000212,Sales Order,items,SVC-TRN-007,832,Nos,,767
SO-DEMO-000213,Sales Order,items,SVC-CHEM,492,Kg,,646
SO-DEMO-000213,Sales Order,items,CNT-012,36,Nos,Central Warehouse - ENXI,4431
SO-DEMO-000214,Sales Order,items,SVC-JAN-004,944,Nos,,337
SO-DEMO-000214,Sales Order,items,CNT-020,47,Nos,Central Warehouse - ENXI,2868
SO-DEMO-000215,Sales Order,items,SVC-INF,187,Kg,,420
SO-DEMO-000215,Sales Order,items,CNT-018,47,Nos,Central Warehouse - ENXI,1643
SO-DEMO-000215,Sales Order,items,SPR-041,1,Nos,Central Warehouse - ENXI,2312462
SO-DEMO-000216,Sales Order,items,SVC-PHRM,232,Kg,,570
SO-DEMO-000216,Sales Order,items,CNT-014,47,Nos,Central Warehouse - ENXI,724
SO-DEMO-000217,Sales Order,items,SVC-SHRP,531,Kg,,528
SO-DEMO-000218,Sales Order,items,SVC-TRN-008,1894,Nos,,300
SO-DEMO-000218,Sales Order,items,SPR-040,1,Nos,Central Warehouse - ENXI,3215854
SO-DEMO-000219,Sales Order,items,SVC-JAN-003,1950,Nos,,670
SO-DEMO-000219,Sales Order,items,CNT-013,39,Nos,Central Warehouse - ENXI,3768
SO-DEMO-000220,Sales Order,items,SVC-GEN,1602,Kg,,273
SO-DEMO-000221,Sales Order,items,SVC-JAN-001,1219,Nos,,600
SO-DEMO-000222,Sales Order,items,SVC-PATH,1712,Kg,,176
SO-DEMO-000222,Sales Order,items,CNT-012,31,Nos,Central Warehouse - ENXI,4385
SO-DEMO-000223,Sales Order,items,SVC-JAN-006,1203,Nos,,237
SO-DEMO-000223,Sales Order,items,CNT-018,10,Nos,Central Warehouse - ENXI,1188
SO-DEMO-000224,Sales Order,items,SVC-JAN-002,1670,Nos,,319
SO-DEMO-000225,Sales Order,items,SVC-JAN-006,1234,Nos,,638
SO-DEMO-000225,Sales Order,items,CNT-014,3,Nos,Central Warehouse - ENXI,1637473
SO-DEMO-000226,Sales Order,items,SVC-JAN-002,1902,Nos,,240
SO-DEMO-000227,Sales Order,items,SVC-TRN-009,1892,Nos,,715
SO-DEMO-000228,Sales Order,items,SVC-TRN-011,509,Nos,,491
SO-DEMO-000229,Sales Order,items,SVC-GEN,649,Kg,,196
SO-DEMO-000230,Sales Order,items,SVC-JAN-006,1169,Nos,,404
SO-DEMO-000231,Sales Order,items,SVC-TRN-008,1097,Nos,,469
SO-DEMO-000231,Sales Order,items,CNT-019,5,Nos,Central Warehouse - ENXI,1752
SO-DEMO-000232,Sales Order,items,SVC-GEN,1961,Kg,,514
SO-DEMO-000233,Sales Order,items,SVC-TRN-011,306,Nos,,150
SO-DEMO-000234,Sales Order,items,SVC-JAN-006,1140,Nos,,663
SO-DEMO-000234,Sales Order,items,CNT-012,32,Nos,Central Warehouse - ENXI,1626
SO-DEMO-000235,Sales Order,items,SVC-TRN-010,961,Nos,,766
SO-DEMO-000236,Sales Order,items,SVC-SHRP,489,Kg,,265
SO-DEMO-000237,Sales Order,items,SVC-GEN,1730,Kg,,359
SO-DEMO-000238,Sales Order,items,SVC-INF,749,Kg,,341
SO-DEMO-000238,Sales Order,items,PPE-028,2,Nos,Central Warehouse - ENXI,2483265
SO-DEMO-000239,Sales Order,items,SVC-INF,1913,Kg,,319
SO-DEMO-000240,Sales Order,items,SVC-JAN-002,305,Nos,,781
SO-DEMO-000240,Sales Order,items,CNT-017,46,Nos,Central Warehouse - ENXI,758
SO-DEMO-000241,Sales Order,items,SVC-TRN-007,873,Nos,,214
SO-DEMO-000242,Sales Order,items,SVC-CHEM,1483,Kg,,414
SO-DEMO-000243,Sales Order,items,SVC-INF,1824,Kg,,560
SO-DEMO-000244,Sales Order,items,SVC-TRN-008,604,Nos,,573
SO-DEMO-000245,Sales Order,items,SVC-GEN,1932,Kg,,553
SO-DEMO-000246,Sales Order,items,SVC-JAN-001,1481,Nos,,745
SO-DEMO-000247,Sales Order,items,SVC-JAN-006,1211,Nos,,469
SO-DEMO-000248,Sales Order,items,SVC-JAN-002,692,Nos,,200
SO-DEMO-000248,Sales Order,items,CNT-014,43,Nos,Central Warehouse - ENXI,1979
SO-DEMO-000248,Sales Order,items,FUEL-055,2,Nos,Central Warehouse - ENXI,1665469
