subject,project,company,status,priority,exp_start_date,exp_end_date
Procurement - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Medium,2025-12-02,2025-12-22
Training & Handover - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,Low,2025-12-17,2026-01-06
Procurement - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-07-20,2024-08-13
Execution Phase 2 - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-08-04,2024-08-21
Closure & Reporting - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-08-19,2024-09-14
Execution Phase 1 - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-09-03,2024-09-26
Training & Handover - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-09-18,2024-10-17
Planning & Scoping - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-11-22,2025-12-10
Testing & QA - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-12-07,2025-12-26
Execution Phase 1 - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-12-22,2026-01-11
Training & Handover - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2026-01-06,2026-01-23
Closure & Reporting - Incinerator Emissions Compliance Project,Incinerator Emissions Compliance Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-02-10,2025-02-25
Resource Allocation - Incinerator Emissions Compliance Project,Incinerator Emissions Compliance Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-02-25,2025-03-27
Execution Phase 1 - Incinerator Emissions Compliance Project,Incinerator Emissions Compliance Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-03-12,2025-04-05
Resource Allocation - New Hospital Onboarding Q2 2025,New Hospital Onboarding Q2 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-08-24,2025-09-20
Training & Handover - New Hospital Onboarding Q2 2025,New Hospital Onboarding Q2 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-09-08,2025-09-22
Testing & QA - New Hospital Onboarding Q2 2025,New Hospital Onboarding Q2 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-09-23,2025-10-14
Execution Phase 1 - Container Distribution Program,Container Distribution Program,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Medium,2025-10-11,2025-11-03
Procurement - Container Distribution Program,Container Distribution Program,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2025-10-26,2025-11-22
Planning & Scoping - Container Distribution Program,Container Distribution Program,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-11-10,2025-12-09
Execution Phase 2 - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-01-04,2025-01-16
Planning & Scoping - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-01-19,2025-02-13
Execution Phase 1 - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-02-03,2025-02-21
Procurement - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-02-18,2025-03-02
