parent,parenttype,parentfield,item_code,qty,uom,rate
OPP-DEMO-000043,Opportunity,items,SVC-JAN-006,8,Nos,38643
OPP-DEMO-000044,Opportunity,items,SVC-TRN-010,1,Nos,32656
OPP-DEMO-000045,Opportunity,items,SVC-TRN-007,8,Nos,12663
OPP-DEMO-000046,Opportunity,items,SVC-TRN-007,1,Nos,15573
OPP-DEMO-000047,Opportunity,items,SVC-JAN-005,8,Nos,20211
OPP-DEMO-000048,Opportunity,items,SVC-JAN-004,10,Nos,48054
OPP-DEMO-000049,Opportunity,items,SVC-JAN-006,7,Nos,49112
OPP-DEMO-000050,Opportunity,items,SVC-CYTO,5,Kg,10648
OPP-DEMO-000051,Opportunity,items,SVC-CYTO,3,Kg,44698
OPP-DEMO-000052,Opportunity,items,SVC-TRN-009,5,Nos,20382
OPP-DEMO-000053,Opportunity,items,SVC-JAN-005,5,Nos,28399
OPP-DEMO-000054,Opportunity,items,SVC-PATH,2,Kg,27133
OPP-DEMO-000055,Opportunity,items,SVC-JAN-001,2,Nos,41830
OPP-DEMO-000056,Opportunity,items,SVC-JAN-004,6,Nos,8058
OPP-DEMO-000057,Opportunity,items,SVC-PHRM,12,Kg,8304
OPP-DEMO-000058,Opportunity,items,SVC-PHRM,10,Kg,44954
OPP-DEMO-000059,Opportunity,items,SVC-PHRM,3,Kg,46282
OPP-DEMO-000060,Opportunity,items,SVC-GEN,12,Kg,24144
OPP-DEMO-000061,Opportunity,items,SVC-PHRM,3,Kg,47407
OPP-DEMO-000062,Opportunity,items,SVC-PHRM,4,Kg,33777
OPP-DEMO-000063,Opportunity,items,SVC-TRN-009,6,Nos,23792
OPP-DEMO-000064,Opportunity,items,SVC-JAN-002,6,Nos,32198
OPP-DEMO-000065,Opportunity,items,SVC-TRN-010,7,Nos,19954
OPP-DEMO-000066,Opportunity,items,SVC-TRN-007,8,Nos,38826
OPP-DEMO-000067,Opportunity,items,SVC-CHEM,1,Kg,38904
OPP-DEMO-000068,Opportunity,items,SVC-JAN-004,7,Nos,15769
OPP-DEMO-000069,Opportunity,items,SVC-PATH,11,Kg,47039
OPP-DEMO-000070,Opportunity,items,SVC-JAN-003,7,Nos,31345
OPP-DEMO-000071,Opportunity,items,SVC-INF,5,Kg,39589
OPP-DEMO-000072,Opportunity,items,SVC-CYTO,9,Kg,45918
OPP-DEMO-000073,Opportunity,items,SVC-CYTO,5,Kg,10523
OPP-DEMO-000074,Opportunity,items,SVC-JAN-006,12,Nos,13257
OPP-DEMO-000075,Opportunity,items,SVC-TRN-010,9,Nos,25463
OPP-DEMO-000076,Opportunity,items,SVC-INF,9,Kg,43830
OPP-DEMO-000077,Opportunity,items,SVC-TRN-007,9,Nos,12237
OPP-DEMO-000078,Opportunity,items,SVC-TRN-010,6,Nos,13114
OPP-DEMO-000079,Opportunity,items,SVC-JAN-003,10,Nos,5341
OPP-DEMO-000080,Opportunity,items,SVC-TRN-011,10,Nos,20324
OPP-DEMO-000081,Opportunity,items,SVC-CHEM,12,Kg,29750
OPP-DEMO-000082,Opportunity,items,SVC-TRN-010,10,Nos,17619
OPP-DEMO-000083,Opportunity,items,SVC-CHEM,12,Kg,32898
OPP-DEMO-000084,Opportunity,items,SVC-PATH,7,Kg,13523
OPP-DEMO-000085,Opportunity,items,SVC-SHRP,6,Kg,49356
OPP-DEMO-000086,Opportunity,items,SVC-JAN-002,10,Nos,37691
OPP-DEMO-000087,Opportunity,items,SVC-TRN-007,3,Nos,14459
OPP-DEMO-000088,Opportunity,items,SVC-TRN-008,3,Nos,38632
OPP-DEMO-000089,Opportunity,items,SVC-TRN-009,1,Nos,15278
OPP-DEMO-000090,Opportunity,items,SVC-TRN-007,2,Nos,12921
OPP-DEMO-000091,Opportunity,items,SVC-TRN-010,3,Nos,12716
OPP-DEMO-000092,Opportunity,items,SVC-JAN-003,5,Nos,36845
OPP-DEMO-000093,Opportunity,items,SVC-TRN-007,1,Nos,24999
OPP-DEMO-000094,Opportunity,items,SVC-TRN-009,1,Nos,13016
OPP-DEMO-000095,Opportunity,items,SVC-TRN-007,8,Nos,42556
OPP-DEMO-000096,Opportunity,items,SVC-JAN-006,8,Nos,44695
OPP-DEMO-000097,Opportunity,items,SVC-TRN-008,8,Nos,48726
OPP-DEMO-000098,Opportunity,items,SVC-SHRP,10,Kg,48548
OPP-DEMO-000099,Opportunity,items,SVC-JAN-006,6,Nos,40454
OPP-DEMO-000100,Opportunity,items,SVC-SHRP,3,Kg,6625
